country_code,category_code,record_type,platform,study_name,product_code,product_name,response,product_plm_code,driver,importance_percent,country,year
IN,HRC,rwa_driver_importance,Hairfall,India Indulekha Hair Fall Hair Oil,AR60,Indulekha Hair Oil? Current,overall opinion color shampoo,NONE,grows new hair/ improves hair density,1.03,India,2021
IN,HRC,rwa_driver_importance,Hairfall,India Indulekha Hair Fall Hair Oil,AR60,Indulekha Hair Oil? Current,overall opinion color shampoo,NONE,is an ayurvedic medicine,1.58,India,2021
IN,HRC,rwa_driver_importance,Hairfall,India Indulekha Hair Fall Hair Oil,AR60,Indulekha Hair Oil? Current,overall opinion color shampoo,NONE,is suitable for whole family,2.07,India,2021
IN,HRC,rwa_driver_importance,Hairfall,India Indulekha Hair Fall Hair Oil,AR60,Indulekha Hair Oil? Current,overall opinion color shampoo,NONE,is suitable for daily use,3.38,India,2021
IN,HRC,rwa_driver_importance,Hairfall,India Indulekha Hair Fall Hair Oil,AR60,Indulekha Hair Oil? Current,overall opinion color shampoo,NONE,has a pleasant fragrance,6.31,India,2021
IN,HRC,rwa_driver_importance,Hairfall,India Indulekha Hair Fall Hair Oil,AR60,Indulekha Hair Oil? Current,overall opinion color shampoo,NONE,rinses off easily,2.18,India,2021
IN,HRC,rwa_driver_importance,Hairfall,India Indulekha Hair Fall Hair Oil,AR60,Indulekha Hair Oil? Current,overall opinion color shampoo,NONE,has the right amount of stickiness,1.64,India,2021
IN,HRC,rwa_driver_importance,Hairfall,India Indulekha Hair Fall Hair Oil,AR60,Indulekha Hair Oil? Current,overall opinion color shampoo,NONE,does not cause irritation or itching to my scalp,2.61,India,2021
IN,HRC,rwa_driver_importance,Hairfall,India Indulekha Hair Fall Hair Oil,AR60,Indulekha Hair Oil? Current,overall opinion color shampoo,NONE,absorbs well into the scalp,1.81,India,2021
IN,HRC,rwa_driver_importance,Hairfall,India Indulekha Hair Fall Hair Oil,AR60,Indulekha Hair Oil? Current,overall opinion color shampoo,NONE,has effective ingredients,7.87,India,2021
IN,HRC,rwa_driver_importance,Hairfall,India Indulekha Hair Fall Hair Oil,AR60,Indulekha Hair Oil? Current,overall opinion color shampoo,NONE,nourishes my scalp,2.93,India,2021
IN,HRC,rwa_driver_importance,Hairfall,India Indulekha Hair Fall Hair Oil,AR60,Indulekha Hair Oil? Current,overall opinion color shampoo,NONE,helps hair grow longer,5.08,India,2021
IN,HRC,rwa_driver_importance,Hairfall,India Indulekha Hair Fall Hair Oil,AR60,Indulekha Hair Oil? Current,overall opinion color shampoo,NONE,makes hair easy to manage or style,1.46,India,2021
IN,HRC,rwa_driver_importance,Hairfall,India Indulekha Hair Fall Hair Oil,AR60,Indulekha Hair Oil? Current,overall opinion color shampoo,NONE,hair looks healthy,2.41,India,2021
IN,HRC,rwa_driver_importance,Hairfall,India Indulekha Hair Fall Hair Oil,AR60,Indulekha Hair Oil? Current,overall opinion color shampoo,NONE,hair feels nourished,1.71,India,2021
IN,HRC,rwa_driver_importance,Hairfall,India Indulekha Hair Fall Hair Oil,AR60,Indulekha Hair Oil? Current,overall opinion color shampoo,NONE,reduces hair breakage,3.01,India,2021
IN,HRC,rwa_driver_importance,Hairfall,NORTH Clinic Plus Sachet Benchmarking HUT,TM45,Dabur Vatika Re.1 LCS,overall opinion product,NONE,makes my hair soft and smooth,3.37,India,2019
IN,HRC,rwa_driver_importance,Hairfall,NORTH Clinic Plus Sachet Benchmarking HUT,TM45,Dabur Vatika Re.1 LCS,overall opinion product,NONE,make my hair easy to comb when wet,9.7,India,2019
IN,HRC,rwa_driver_importance,Hairfall,NORTH Clinic Plus Sachet Benchmarking HUT,TM45,Dabur Vatika Re.1 LCS,overall opinion product,NONE,makes my hair stronger,2.31,India,2019
IN,HRC,rwa_driver_importance,Hairfall,NORTH Clinic Plus Sachet Benchmarking HUT,TM45,Dabur Vatika Re.1 LCS,overall opinion product,NONE,does not cause dandruff flakes,2.64,India,2019
IN,HRC,rwa_driver_importance,Hairfall,NORTH Clinic Plus Sachet Benchmarking HUT,TM45,Dabur Vatika Re.1 LCS,overall opinion product,NONE,makes scalp healthy,1.04,India,2019
IN,HRC,rwa_driver_importance,Hairfall,NORTH Clinic Plus Sachet Benchmarking HUT,TM45,Dabur Vatika Re.1 LCS,overall opinion product,NONE,shampoo cleans my hair well,1.64,India,2019
IN,HRC,rwa_driver_importance,Hairfall,NORTH Clinic Plus Sachet Benchmarking HUT,TM45,Dabur Vatika Re.1 LCS,overall opinion appearance of shampoo,NONE,ease of rinsing off shampoo,2.16,India,2019
IN,HRC,rwa_driver_importance,Hairfall,NORTH Clinic Plus Sachet Benchmarking HUT,TM45,Dabur Vatika Re.1 LCS,overall opinion appearance of shampoo,NONE,ease of lathering shampoo,9.63,India,2019
IN,HRC,rwa_driver_importance,Hairfall,NORTH Clinic Plus Sachet Benchmarking HUT,TM45,Dabur Vatika Re.1 LCS,overall opinion appearance of shampoo,NONE,nourishes hair well,11.2,India,2019
IN,HRC,rwa_driver_importance,Hairfall,NORTH Clinic Plus Sachet Benchmarking HUT,TM45,Dabur Vatika Re.1 LCS,overall opinion appearance of shampoo,NONE,makes my hair beautiful,11.32,India,2019
IN,HRC,rwa_driver_importance,Hairfall,NORTH Clinic Plus Sachet Benchmarking HUT,TM45,Dabur Vatika Re.1 LCS,overall opinion appearance of shampoo,NONE,gives me the look i want,2.37,India,2019
IN,HRC,rwa_driver_importance,Hairfall,NORTH Clinic Plus Sachet Benchmarking HUT,TM45,Dabur Vatika Re.1 LCS,overall opinion appearance of shampoo,NONE,is a high quality product,4.34,India,2019
IN,HRC,rwa_driver_importance,Hairfall,NORTH Clinic Plus Sachet Benchmarking HUT,TM45,Dabur Vatika Re.1 LCS,overall opinion appearance of shampoo,NONE,is delightful to use,4.94,India,2019
IN,HRC,rwa_driver_importance,Hairfall,NORTH Clinic Plus Sachet Benchmarking HUT,TM45,Dabur Vatika Re.1 LCS,overall opinion appearance of shampoo,NONE,reduces hair breakage,9.92,India,2019
IN,HRC,rwa_driver_importance,Hairfall,NORTH Clinic Plus Sachet Benchmarking HUT,TM45,Dabur Vatika Re.1 LCS,overall opinion appearance of shampoo,NONE,reduces hair fall,9.93,India,2019
IN,HRC,rwa_driver_importance,Hairfall,NORTH Clinic Plus Sachet Benchmarking HUT,TM45,Dabur Vatika Re.1 LCS,overall opinion appearance of shampoo,NONE,makes hair stronger,4.54,India,2019
IN,HRC,rwa_driver_importance,Hairfall,NORTH Clinic Plus Sachet Benchmarking HUT,TM45,Dabur Vatika Re.1 LCS,overall opinion appearance of shampoo,NONE,prevents hair fall,3.46,India,2019
IN,HRC,rwa_driver_importance,Hairfall,NORTH Clinic Plus Sachet Benchmarking HUT,TM45,Dabur Vatika Re.1 LCS,overall opinion appearance of shampoo,NONE,makes my hair full and thick,1.43,India,2019
IN,HRC,rwa_driver_importance,Hairfall,NORTH Clinic Plus Sachet Benchmarking HUT,TM45,Dabur Vatika Re.1 LCS,overall opinion appearance of shampoo,NONE,does not make my hair limp,9.09,India,2019
IN,HRC,rwa_driver_importance,Hairfall,NORTH Clinic Plus Sachet Benchmarking HUT,TM45,Dabur Vatika Re.1 LCS,overall opinion appearance of shampoo,NONE,makes my hair soft and smooth,4.07,India,2019
IN,HRC,rwa_driver_importance,Hairfall,NORTH Clinic Plus Sachet Benchmarking HUT,TM45,Dabur Vatika Re.1 LCS,overall opinion appearance of shampoo,NONE,make my hair easy to comb when wet,1.85,India,2019
IN,HRC,rwa_driver_importance,Hairfall,NORTH Clinic Plus Sachet Benchmarking HUT,TM45,Dabur Vatika Re.1 LCS,overall opinion appearance of shampoo,NONE,makes my hair stronger,4.04,India,2019
IN,HRC,rwa_driver_importance,Hairfall,NORTH Clinic Plus Sachet Benchmarking HUT,TM45,Dabur Vatika Re.1 LCS,overall opinion appearance of shampoo,NONE,does not cause dandruff flakes,3.01,India,2019
IN,HRC,rwa_driver_importance,Hairfall,NORTH Clinic Plus Sachet Benchmarking HUT,TM45,Dabur Vatika Re.1 LCS,overall opinion appearance of shampoo,NONE,makes scalp healthy,1.2,India,2019
IN,HRC,rwa_driver_importance,Hairfall,NORTH Clinic Plus Sachet Benchmarking HUT,TM45,Dabur Vatika Re.1 LCS,overall opinion appearance of shampoo,NONE,shampoo cleans my hair well,1.49,India,2019
IN,HRC,rwa_driver_importance,Hairfall,NORTH Clinic Plus Sachet Benchmarking HUT,TM45,Dabur Vatika Re.1 LCS,overall opinion color shampoo,NONE,ease of rinsing off shampoo,2.55,India,2019
IN,HRC,rwa_driver_importance,Hairfall,NORTH Clinic Plus Sachet Benchmarking HUT,TM45,Dabur Vatika Re.1 LCS,overall opinion color shampoo,NONE,ease of lathering shampoo,1.07,India,2019
IN,HRC,rwa_driver_importance,Hairfall,NORTH Clinic Plus Sachet Benchmarking HUT,TM45,Dabur Vatika Re.1 LCS,overall opinion color shampoo,NONE,nourishes hair well,8.11,India,2019
IN,HRC,rwa_driver_importance,Hairfall,NORTH Clinic Plus Sachet Benchmarking HUT,TM45,Dabur Vatika Re.1 LCS,overall opinion color shampoo,NONE,makes my hair beautiful,9.94,India,2019
IN,HRC,rwa_driver_importance,Hairfall,NORTH Clinic Plus Sachet Benchmarking HUT,TM45,Dabur Vatika Re.1 LCS,overall opinion color shampoo,NONE,gives me the look i want,4.56,India,2019
IN,HRC,rwa_driver_importance,Hairfall,NORTH Clinic Plus Sachet Benchmarking HUT,TM45,Dabur Vatika Re.1 LCS,overall opinion color shampoo,NONE,is a high quality product,2.98,India,2019
IN,HRC,rwa_driver_importance,Hairfall,NORTH Clinic Plus Sachet Benchmarking HUT,TM45,Dabur Vatika Re.1 LCS,overall opinion color shampoo,NONE,is delightful to use,1.91,India,2019
IN,HRC,rwa_driver_importance,Hairfall,India Indulekha Hair fall Shampoo Cleanser North,QS20,Pantene Hairfall Shampoo,overall opinion product,NONE,is an ayurvedic medicine,1.34,India,2021
IN,HRC,rwa_driver_importance,Hairfall,NORTH Clinic Plus Sachet Benchmarking HUT,TM45,Dabur Vatika Re.1 LCS,overall opinion color shampoo,NONE,reduces hair breakage,3.75,India,2019
IN,HRC,rwa_driver_importance,Hairfall,India Indulekha Hair fall Shampoo Cleanser North,QS20,Pantene Hairfall Shampoo,overall opinion product,NONE,does not make my hair limp,2.41,India,2021
IN,HRC,rwa_driver_importance,Hairfall,NORTH Clinic Plus Sachet Benchmarking HUT,TM45,Dabur Vatika Re.1 LCS,overall opinion color shampoo,NONE,reduces hair fall,15.69,India,2019
IN,HRC,rwa_driver_importance,Hairfall,India Indulekha Hair fall Shampoo Cleanser North,QS20,Pantene Hairfall Shampoo,overall opinion product,NONE,is pleasurable to use,1.31,India,2021
IN,HRC,rwa_driver_importance,Shine (Colour & Shine),India Sunsilk Blackshine LCS Shampoo North,KV67 or LH75,Competitor Dabur Vatika Shampoo 6.5ml,overall opinion product,NONE,is delightful to use,4.99,India,2021
IN,HRC,rwa_driver_importance,Hairfall,NORTH Clinic Plus Sachet Benchmarking HUT,TM45,Dabur Vatika Re.1 LCS,overall opinion color shampoo,NONE,makes hair stronger,12.86,India,2019
IN,HRC,rwa_driver_importance,Hairfall,India Indulekha Hair fall Shampoo Cleanser North,QS20,Pantene Hairfall Shampoo,overall opinion product,NONE,reduces hair breakage,2.32,India,2021
IN,HRC,rwa_driver_importance,Shine (Colour & Shine),India Sunsilk Blackshine LCS Shampoo North,KV67 or LH75,Competitor Dabur Vatika Shampoo 6.5ml,overall opinion product,NONE,gives nourishment to my hair,3.01,India,2021
IN,HRC,rwa_driver_importance,Hairfall,NORTH Clinic Plus Sachet Benchmarking HUT,TM45,Dabur Vatika Re.1 LCS,overall opinion color shampoo,NONE,prevents hair fall,8.91,India,2019
IN,HRC,rwa_driver_importance,Hairfall,India Indulekha Hair fall Shampoo Cleanser North,QS20,Pantene Hairfall Shampoo,overall opinion product,NONE,reduces hair fall,3.59,India,2021
IN,HRC,rwa_driver_importance,Shine (Colour & Shine),India Sunsilk Blackshine LCS Shampoo North,KV67 or LH75,Competitor Dabur Vatika Shampoo 6.5ml,overall opinion product,NONE,enhances the color vibrancy of my hair,4.02,India,2021
IN,HRC,rwa_driver_importance,Hairfall,NORTH Clinic Plus Sachet Benchmarking HUT,TM45,Dabur Vatika Re.1 LCS,overall opinion color shampoo,NONE,makes my hair full and thick,6.82,India,2019
IN,HRC,rwa_driver_importance,Hairfall,India Indulekha Hair fall Shampoo Cleanser North,QS20,Pantene Hairfall Shampoo,overall opinion product,NONE,makes my hair full and thick,0.99,India,2021
IN,HRC,rwa_driver_importance,Hairfall,NORTH Clinic Plus Sachet Benchmarking HUT,TM45,Dabur Vatika Re.1 LCS,overall opinion color shampoo,NONE,does not make my hair limp,1.87,India,2019
IN,HRC,rwa_driver_importance,Hairfall,NORTH Clinic Plus Sachet Benchmarking HUT,TM45,Dabur Vatika Re.1 LCS,overall opinion color shampoo,NONE,makes my hair soft and smooth,9.98,India,2019
IN,HRC,rwa_driver_importance,Hairfall,NORTH Clinic Plus Sachet Benchmarking HUT,TM45,Dabur Vatika Re.1 LCS,overall opinion color shampoo,NONE,make my hair easy to comb when wet,1.81,India,2019
IN,HRC,rwa_driver_importance,Hairfall,NORTH Clinic Plus Sachet Benchmarking HUT,TM45,Dabur Vatika Re.1 LCS,overall opinion color shampoo,NONE,makes my hair stronger,1.69,India,2019
IN,HRC,rwa_driver_importance,Hairfall,NORTH Clinic Plus Sachet Benchmarking HUT,TM45,Dabur Vatika Re.1 LCS,overall opinion color shampoo,NONE,does not cause dandruff flakes,3.05,India,2019
IN,HRC,rwa_driver_importance,Hairfall,NORTH Clinic Plus Sachet Benchmarking HUT,TM45,Dabur Vatika Re.1 LCS,overall opinion color shampoo,NONE,makes scalp healthy,1.21,India,2019
IN,HRC,rwa_driver_importance,Hairfall,NORTH Clinic Plus Sachet Benchmarking HUT,TM45,Dabur Vatika Re.1 LCS,overall opinion color shampoo,NONE,shampoo cleans my hair well,1.27,India,2019
IN,HRC,rwa_driver_importance,Hairfall,India Indulekha Hair fall Shampoo Cleanser North,QS20,Pantene Hairfall Shampoo,overall opinion appearance of shampoo,NONE,reduces hair fall,1.02,India,2021
IN,HRC,rwa_driver_importance,Hairfall,India Indulekha Hair fall Shampoo Cleanser North,QS20,Pantene Hairfall Shampoo,overall opinion appearance of shampoo,NONE,makes my hair full and thick,4.02,India,2021
IN,HRC,rwa_driver_importance,Hairfall,India Indulekha Hair fall Shampoo Cleanser North,QS20,Pantene Hairfall Shampoo,overall opinion appearance of shampoo,NONE,nourishes hair well,6.05,India,2021
IN,HRC,rwa_driver_importance,Hairfall,India Indulekha Hair fall Shampoo Cleanser North,QS20,Pantene Hairfall Shampoo,overall opinion appearance of shampoo,NONE,makes my hair beautiful,0.87,India,2021
IN,HRC,rwa_driver_importance,Hairfall,India Indulekha Hair fall Shampoo Cleanser North,QS20,Pantene Hairfall Shampoo,overall opinion appearance of shampoo,NONE,is a high quality product,2.03,India,2021
IN,HRC,rwa_driver_importance,Shine (Colour & Shine),India Sunsilk Blackshine LCS Shampoo North,KV67 or LH75,Competitor Dabur Vatika Shampoo 6.5ml,overall opinion appearance of shampoo,NONE,makes my hair stronger,8.55,India,2021
IN,HRC,rwa_driver_importance,Hairfall,India Indulekha Hair fall Shampoo Cleanser North,QS20,Pantene Hairfall Shampoo,overall opinion appearance of shampoo,NONE,makes hair stronger,1.17,India,2021
IN,HRC,rwa_driver_importance,Shine (Colour & Shine),India Sunsilk Blackshine LCS Shampoo North,KV67 or LH75,Competitor Dabur Vatika Shampoo 6.5ml,overall opinion appearance of shampoo,NONE,cares for my hair,1.98,India,2021
IN,HRC,rwa_driver_importance,Hairfall,India Indulekha Hair fall Shampoo Cleanser North,QS20,Pantene Hairfall Shampoo,overall opinion appearance of shampoo,NONE,prevents hair fall,9.42,India,2021
IN,HRC,rwa_driver_importance,Shine (Colour & Shine),India Sunsilk Blackshine LCS Shampoo North,KV67 or LH75,Competitor Dabur Vatika Shampoo 6.5ml,overall opinion appearance of shampoo,NONE,is delightful to use,3.1,India,2021
IN,HRC,rwa_driver_importance,Hairfall,India Indulekha Hair fall Shampoo Cleanser North,QS20,Pantene Hairfall Shampoo,overall opinion appearance of shampoo,NONE,makes my hair soft and smooth,1.55,India,2021
IN,HRC,rwa_driver_importance,Hairfall,India Indulekha Hair fall Shampoo Cleanser North,QS20,Pantene Hairfall Shampoo,overall opinion appearance of shampoo,NONE,make my hair easy to comb when wet,6.12,India,2021
IN,HRC,rwa_driver_importance,Hairfall,India Indulekha Hair fall Shampoo Cleanser North,QS20,Pantene Hairfall Shampoo,overall opinion appearance of shampoo,NONE,does not cause dandruff flakes,15.02,India,2021
IN,HRC,rwa_driver_importance,Hairfall,India Indulekha Hair fall Shampoo Cleanser North,QS20,Pantene Hairfall Shampoo,overall opinion appearance of shampoo,NONE,makes scalp healthy,1.69,India,2021
IN,HRC,rwa_driver_importance,Hairfall,India Indulekha Hair fall Shampoo Cleanser North,QS20,Pantene Hairfall Shampoo,overall opinion appearance of shampoo,NONE,shampoo cleans my hair well,10.63,India,2021
IN,HRC,rwa_driver_importance,Hairfall,India Indulekha Hair fall Shampoo Cleanser North,QS20,Pantene Hairfall Shampoo,overall opinion product,NONE,nourishes hair well,11.55,India,2021
IN,HRC,rwa_driver_importance,Hairfall,India Indulekha Hair fall Shampoo Cleanser North,QS20,Pantene Hairfall Shampoo,overall opinion product,NONE,makes my hair beautiful,9.18,India,2021
IN,HRC,rwa_driver_importance,Hairfall,India Indulekha Hair fall Shampoo Cleanser North,QS20,Pantene Hairfall Shampoo,overall opinion product,NONE,is a high quality product,3.95,India,2021
IN,HRC,rwa_driver_importance,Hairfall,India Indulekha Hair fall Shampoo Cleanser North,QS20,Pantene Hairfall Shampoo,overall opinion product,NONE,makes hair stronger,2.47,India,2021
IN,HRC,rwa_driver_importance,Hairfall,India Indulekha Hair fall Shampoo Cleanser North,QS20,Pantene Hairfall Shampoo,overall opinion product,NONE,prevents hair fall,6.85,India,2021
IN,HRC,rwa_driver_importance,Hairfall,India Indulekha Hair fall Shampoo Cleanser North,QS20,Pantene Hairfall Shampoo,overall opinion product,NONE,makes my hair soft and smooth,0.93,India,2021
IN,HRC,rwa_driver_importance,Hairfall,India Indulekha Hair fall Shampoo Cleanser North,QS20,Pantene Hairfall Shampoo,overall opinion product,NONE,make my hair easy to comb when wet,13.57,India,2021
IN,HRC,rwa_driver_importance,Hairfall,India Indulekha Hair fall Shampoo Cleanser North,QS20,Pantene Hairfall Shampoo,overall opinion product,NONE,does not cause dandruff flakes,1.32,India,2021
IN,HRC,rwa_driver_importance,Hairfall,India Indulekha Hair fall Shampoo Cleanser North,QS20,Pantene Hairfall Shampoo,overall opinion product,NONE,makes scalp healthy,5.06,India,2021
IN,HRC,rwa_driver_importance,Hairfall,India Indulekha Hair fall Shampoo Cleanser North,QS20,Pantene Hairfall Shampoo,overall opinion product,NONE,shampoo cleans my hair well,4.04,India,2021
IN,HRC,rwa_driver_importance,Hairfall,India Indulekha Hair fall Shampoo Cleanser North,QS20,Pantene Hairfall Shampoo,overall opinion appearance of shampoo,NONE,ease of rinsing off shampoo,4.7,India,2021
IN,HRC,rwa_driver_importance,Hairfall,India Indulekha Hair fall Shampoo Cleanser North,QS20,Pantene Hairfall Shampoo,overall opinion appearance of shampoo,NONE,ease of lathering shampoo,3.03,India,2021
IN,HRC,rwa_driver_importance,Hairfall,India Indulekha Hair fall Shampoo Cleanser North,QS20,Pantene Hairfall Shampoo,overall opinion appearance of shampoo,NONE,is a natural shampoo,2.09,India,2021
IN,HRC,rwa_driver_importance,Hairfall,India Indulekha Hair fall Shampoo Cleanser North,QS20,Pantene Hairfall Shampoo,overall opinion appearance of shampoo,NONE,is an herbal shampoo,1.58,India,2021
IN,HRC,rwa_driver_importance,Hairfall,India Indulekha Hair fall Shampoo Cleanser North,QS20,Pantene Hairfall Shampoo,overall opinion appearance of shampoo,NONE,"is an ayurvedic shampoo,",2.52,India,2021
IN,HRC,rwa_driver_importance,Hairfall,India Indulekha Hair fall Shampoo Cleanser North,QS20,Pantene Hairfall Shampoo,overall opinion appearance of shampoo,NONE,has a natural fragrance,1.6,India,2021
IN,HRC,rwa_driver_importance,Hairfall,India Indulekha Hair fall Shampoo Cleanser North,QS20,Pantene Hairfall Shampoo,overall opinion appearance of shampoo,NONE,makes my hair easy to comb when dry,1.66,India,2021
IN,HRC,rwa_driver_importance,Hairfall,India Indulekha Hair fall Shampoo Cleanser North,QS20,Pantene Hairfall Shampoo,overall opinion appearance of shampoo,NONE,has a natural color,5.79,India,2021
IN,HRC,rwa_driver_importance,Hairfall,India Indulekha Hair fall Shampoo Cleanser North,QS20,Pantene Hairfall Shampoo,overall opinion appearance of shampoo,NONE,is an ayurvedic medicine,2.11,India,2021
IN,HRC,rwa_driver_importance,Hairfall,India Indulekha Hair fall Shampoo Cleanser North,QS20,Pantene Hairfall Shampoo,overall opinion appearance of shampoo,NONE,does not make my hair limp,2.15,India,2021
IN,HRC,rwa_driver_importance,Hairfall,India Indulekha Hair fall Shampoo Cleanser North,QS20,Pantene Hairfall Shampoo,overall opinion appearance of shampoo,NONE,is pleasurable to use,8.41,India,2021
IN,HRC,rwa_driver_importance,Hairfall,India Indulekha Hair fall Shampoo Cleanser North,QS20,Pantene Hairfall Shampoo,overall opinion appearance of shampoo,NONE,reduces hair breakage,4.77,India,2021
