country_code,category_code,record_type,product_code,product_name,benefit,value
IN,FC,blind_hut_benefit_score,TH249W,OLAY retinol 24 night serum: TH249W,even_tone,4.7
IN,FC,blind_hut_benefit_score,IN653S,PONDS B122: IN653S,even_tone,5.16
IN,FC,blind_hut_benefit_score,IN663S,PONDS Bright Beauty Serum Cream: IN663S,even_tone,5.19
IN,FC,blind_hut_benefit_score,IN640S,Fragrance fresh florals - celestial AI: IN640S,fairness_over_time,5.25
IN,FC,blind_hut_benefit_score,IN644S,Fragrance fresh fruits - Olay berry body lotion: IN644S,fairness_over_time,5.2
IN,FC,blind_hut_benefit_score,IN643S,Fragrance fresh fruits - bali beach LLF2: IN643S,fairness_over_time,5.32
IN,FC,blind_hut_benefit_score,IN639S,Fragrance natural freshness - highland M: IN639S,fairness_over_time,5.25
IN,FC,blind_hut_benefit_score,IN642S,Fragrance opulent florals - vibrant M: IN642S,fairness_over_time,5.13
IN,FC,blind_hut_benefit_score,IN637S,Fragrance sparkling freshness - uplifting: IN637S,fairness_over_time,5.02
IN,FC,blind_hut_benefit_score,IN647W,JOHNSONS baby oil: IN647W,fairness_over_time,4.65
IN,FC,blind_hut_benefit_score,TH248W,JOHNSONS baby powder: TH248W,fairness_over_time,5.05
IN,FC,blind_hut_benefit_score,CN747W,KIEHLS multi corrective cream: CN747W,fairness_over_time,4.78
IN,FC,blind_hut_benefit_score,IN638S,Fragrance technical freshness - SY22: IN638S,fairness_over_time,5.11
IN,FC,blind_hut_benefit_score,CN739W,PONDS upper eye cream sea flower: CN739W,fairness_over_time,4.84
IN,FC,blind_hut_benefit_score,IN657S,GARNIER vitamin C Cream: IN657S,fairness_over_time,5.15
IN,FC,blind_hut_benefit_score,CN744W,PROYA cream: CN744W,fairness_over_time,4.94
IN,FC,blind_hut_benefit_score,IN651W,GARNIER vitamin C Serum: IN651W,fairness_over_time,4.94
IN,FC,blind_hut_benefit_score,IN656S,GLOW AND LOVELY multivitamin cream: IN656S,fairness_over_time,5.2
IN,FC,blind_hut_benefit_score,K56W,HADALABO gel: K56W,fairness_over_time,4.76
IN,FC,blind_hut_benefit_score,IN648S,SAFI Youth Gold Lifting 24K Gold Essence: IN648S,fairness_over_time,5.02
IN,FC,blind_hut_benefit_score,J13S,SHISEIDO Aqua Label Special Gel Cream Oil In: J13S,fairness_over_time,4.77
IN,FC,blind_hut_benefit_score,CN737W,SOFINA pink primer: CN737W,fairness_over_time,4.9
IN,FC,blind_hut_benefit_score,IN666S,LAKME absolute hydra pro tinted moisturizer: IN666S,fairness_over_time,5.22
IN,FC,blind_hut_benefit_score,IN665S,LAKME mousse foundation: IN665S,fairness_over_time,5.14
IN,FC,blind_hut_benefit_score,RU02W,LOREAL PARIS 1.5% Pure Hyaluronic Acid Serum: RU02W,fairness_over_time,4.72
IN,FC,blind_hut_benefit_score,IN658W,PONDS Super Light Serum: IN658W,fairness_over_time,4.62
IN,FC,blind_hut_benefit_score,IN664S,PONDS cold cream: IN664S,fairness_over_time,5.05
IN,FC,blind_hut_benefit_score,US239W,SUPERGOOP sunscreen: US239W,fairness_over_time,4.52
IN,FC,blind_hut_benefit_score,IN660W,PONDS light moisturizer: IN660W,fairness_over_time,5.13
IN,FC,blind_hut_benefit_score,IN650W,PONDS piccolo serum: IN650W,fairness_over_time,5.03
IN,FC,blind_hut_benefit_score,IN661W,PONDS super light gel 0.25% menthol: IN661W,fairness_over_time,4.87
IN,FC,blind_hut_benefit_score,IN662W,PONDS super light gel original: IN662W,fairness_over_time,5.06
IN,FC,blind_hut_benefit_score,CN738W,TIMIER water rich protection makeup base: CN738W,fairness_over_time,5.03
IN,FC,blind_hut_benefit_score,CN750W,VASELINE glutahya lotion: CN750W,fairness_over_time,5.01
IN,FC,blind_hut_benefit_score,IN646W,VASELINE petroleum jelly: IN646W,fairness_over_time,4.66
IN,FC,blind_hut_benefit_score,CN743S,VASELINE radiant glow lotion: CN743S,fairness_over_time,5.24
IN,FC,blind_hut_benefit_score,IN654S,WHITE TONE soft and smooth face cream: IN654S,fairness_over_time,5.12
IN,FC,blind_hut_benefit_score,IN659W,ALBION skin conditioner: IN659W,fairness_over_time,4.63
IN,FC,blind_hut_benefit_score,IN652S,BOROPLUS antiseptic cream: IN652S,fairness_over_time,4.86
IN,FC,blind_hut_benefit_score,CN740S,CathKidston Rose Mask: CN740S,fairness_over_time,4.75
IN,FC,blind_hut_benefit_score,US241W,ELIZABETH ARDEN 8 hour cream: US241W,fairness_over_time,4.1
IN,FC,blind_hut_benefit_score,IN641S,Fragrance caring florals - VIP list LY: IN641S,fairness_over_time,5.19
IN,FC,blind_hut_benefit_score,IN649S,Nature republic aloe vera gel: IN649S,fairness_over_time,5.07
IN,FC,blind_hut_benefit_score,IN655S,OLAY Natural Aura 7 IN ONE Instant Glowing Radiance with UV Protection: IN655S,fairness_over_time,5.12
IN,FC,blind_hut_benefit_score,TH249W,OLAY retinol 24 night serum: TH249W,fairness_over_time,4.64
IN,FC,blind_hut_benefit_score,IN653S,PONDS B122: IN653S,fairness_over_time,5.2
IN,FC,blind_hut_benefit_score,IN663S,PONDS Bright Beauty Serum Cream: IN663S,fairness_over_time,5.23
IN,FC,blind_hut_benefit_score,IN640S,Fragrance fresh florals - celestial AI: IN640S,instant_brightness,5.28
IN,FC,blind_hut_benefit_score,IN644S,Fragrance fresh fruits - Olay berry body lotion: IN644S,instant_brightness,5.15
IN,FC,blind_hut_benefit_score,IN643S,Fragrance fresh fruits - bali beach LLF2: IN643S,instant_brightness,5.31
IN,FC,blind_hut_benefit_score,IN639S,Fragrance natural freshness - highland M: IN639S,instant_brightness,5.23
IN,FC,blind_hut_benefit_score,IN642S,Fragrance opulent florals - vibrant M: IN642S,instant_brightness,5.08
IN,FC,blind_hut_benefit_score,IN637S,Fragrance sparkling freshness - uplifting: IN637S,instant_brightness,5.04
IN,FC,blind_hut_benefit_score,IN647W,JOHNSONS baby oil: IN647W,instant_brightness,4.72
IN,FC,blind_hut_benefit_score,TH248W,JOHNSONS baby powder: TH248W,instant_brightness,5.06
IN,FC,blind_hut_benefit_score,CN747W,KIEHLS multi corrective cream: CN747W,instant_brightness,4.79
IN,FC,blind_hut_benefit_score,IN638S,Fragrance technical freshness - SY22: IN638S,instant_brightness,5.09
IN,FC,blind_hut_benefit_score,CN739W,PONDS upper eye cream sea flower: CN739W,instant_brightness,4.83
IN,FC,blind_hut_benefit_score,IN657S,GARNIER vitamin C Cream: IN657S,instant_brightness,5.16
IN,FC,blind_hut_benefit_score,CN744W,PROYA cream: CN744W,instant_brightness,4.94
IN,FC,blind_hut_benefit_score,IN651W,GARNIER vitamin C Serum: IN651W,instant_brightness,4.92
IN,FC,blind_hut_benefit_score,IN656S,GLOW AND LOVELY multivitamin cream: IN656S,instant_brightness,5.2
IN,FC,blind_hut_benefit_score,K56W,HADALABO gel: K56W,instant_brightness,4.74
IN,FC,blind_hut_benefit_score,IN648S,SAFI Youth Gold Lifting 24K Gold Essence: IN648S,instant_brightness,5.1
IN,FC,blind_hut_benefit_score,J13S,SHISEIDO Aqua Label Special Gel Cream Oil In: J13S,instant_brightness,4.81
IN,FC,blind_hut_benefit_score,CN737W,SOFINA pink primer: CN737W,instant_brightness,4.92
IN,FC,blind_hut_benefit_score,IN666S,LAKME absolute hydra pro tinted moisturizer: IN666S,instant_brightness,5.22
IN,FC,blind_hut_benefit_score,IN665S,LAKME mousse foundation: IN665S,instant_brightness,5.12
IN,FC,blind_hut_benefit_score,RU02W,LOREAL PARIS 1.5% Pure Hyaluronic Acid Serum: RU02W,instant_brightness,4.78
IN,FC,blind_hut_benefit_score,IN658W,PONDS Super Light Serum: IN658W,instant_brightness,4.58
IN,FC,blind_hut_benefit_score,IN664S,PONDS cold cream: IN664S,instant_brightness,5.06
IN,FC,blind_hut_benefit_score,US239W,SUPERGOOP sunscreen: US239W,instant_brightness,4.52
IN,FC,blind_hut_benefit_score,IN660W,PONDS light moisturizer: IN660W,instant_brightness,5.17
IN,FC,blind_hut_benefit_score,IN650W,PONDS piccolo serum: IN650W,instant_brightness,5.05
IN,FC,blind_hut_benefit_score,IN661W,PONDS super light gel 0.25% menthol: IN661W,instant_brightness,4.88
IN,FC,blind_hut_benefit_score,IN662W,PONDS super light gel original: IN662W,instant_brightness,5.1
IN,FC,blind_hut_benefit_score,CN738W,TIMIER water rich protection makeup base: CN738W,instant_brightness,5.07
IN,FC,blind_hut_benefit_score,CN750W,VASELINE glutahya lotion: CN750W,instant_brightness,5.04
IN,FC,blind_hut_benefit_score,IN646W,VASELINE petroleum jelly: IN646W,instant_brightness,4.7
IN,FC,blind_hut_benefit_score,CN743S,VASELINE radiant glow lotion: CN743S,instant_brightness,5.18
IN,FC,blind_hut_benefit_score,IN654S,WHITE TONE soft and smooth face cream: IN654S,instant_brightness,5.15
IN,FC,blind_hut_benefit_score,IN659W,ALBION skin conditioner: IN659W,instant_brightness,4.62
IN,FC,blind_hut_benefit_score,IN652S,BOROPLUS antiseptic cream: IN652S,instant_brightness,4.86
IN,FC,blind_hut_benefit_score,CN740S,CathKidston Rose Mask: CN740S,instant_brightness,4.8
IN,FC,blind_hut_benefit_score,US241W,ELIZABETH ARDEN 8 hour cream: US241W,instant_brightness,4.12
IN,FC,blind_hut_benefit_score,IN641S,Fragrance caring florals - VIP list LY: IN641S,instant_brightness,5.22
IN,FC,blind_hut_benefit_score,IN649S,Nature republic aloe vera gel: IN649S,instant_brightness,4.92
IN,FC,blind_hut_benefit_score,IN655S,OLAY Natural Aura 7 IN ONE Instant Glowing Radiance with UV Protection: IN655S,instant_brightness,5.14
IN,FC,blind_hut_benefit_score,TH249W,OLAY retinol 24 night serum: TH249W,instant_brightness,4.7
IN,FC,blind_hut_benefit_score,IN653S,PONDS B122: IN653S,instant_brightness,5.18
IN,FC,blind_hut_benefit_score,IN663S,PONDS Bright Beauty Serum Cream: IN663S,instant_brightness,5.3
IN,FC,blind_hut_benefit_score,IN640S,Fragrance fresh florals - celestial AI: IN640S,instant_fairness,5.29
IN,FC,blind_hut_benefit_score,IN644S,Fragrance fresh fruits - Olay berry body lotion: IN644S,instant_fairness,5.14
IN,FC,blind_hut_benefit_score,IN643S,Fragrance fresh fruits - bali beach LLF2: IN643S,instant_fairness,5.26
IN,FC,blind_hut_benefit_score,IN639S,Fragrance natural freshness - highland M: IN639S,instant_fairness,5.19
IN,FC,blind_hut_benefit_score,IN642S,Fragrance opulent florals - vibrant M: IN642S,instant_fairness,5.17
IN,FC,blind_hut_benefit_score,IN637S,Fragrance sparkling freshness - uplifting: IN637S,instant_fairness,5.06
IN,FC,blind_hut_benefit_score,IN647W,JOHNSONS baby oil: IN647W,instant_fairness,4.63
IN,FC,blind_hut_benefit_score,TH248W,JOHNSONS baby powder: TH248W,instant_fairness,5.07
IN,FC,blind_hut_benefit_score,CN747W,KIEHLS multi corrective cream: CN747W,instant_fairness,4.8
IN,FC,blind_hut_benefit_score,IN638S,Fragrance technical freshness - SY22: IN638S,instant_fairness,5.09
IN,FC,blind_hut_benefit_score,CN739W,PONDS upper eye cream sea flower: CN739W,instant_fairness,4.83
IN,FC,blind_hut_benefit_score,IN657S,GARNIER vitamin C Cream: IN657S,instant_fairness,5.16
IN,FC,blind_hut_benefit_score,CN744W,PROYA cream: CN744W,instant_fairness,4.83
IN,FC,blind_hut_benefit_score,IN651W,GARNIER vitamin C Serum: IN651W,instant_fairness,4.88
IN,FC,blind_hut_benefit_score,IN656S,GLOW AND LOVELY multivitamin cream: IN656S,instant_fairness,5.21
IN,FC,blind_hut_benefit_score,K56W,HADALABO gel: K56W,instant_fairness,4.71
IN,FC,blind_hut_benefit_score,IN648S,SAFI Youth Gold Lifting 24K Gold Essence: IN648S,instant_fairness,5.06
IN,FC,blind_hut_benefit_score,J13S,SHISEIDO Aqua Label Special Gel Cream Oil In: J13S,instant_fairness,4.68
IN,FC,blind_hut_benefit_score,CN737W,SOFINA pink primer: CN737W,instant_fairness,4.91
IN,FC,blind_hut_benefit_score,IN666S,LAKME absolute hydra pro tinted moisturizer: IN666S,instant_fairness,5.2
IN,FC,blind_hut_benefit_score,IN665S,LAKME mousse foundation: IN665S,instant_fairness,5.18
IN,FC,blind_hut_benefit_score,RU02W,LOREAL PARIS 1.5% Pure Hyaluronic Acid Serum: RU02W,instant_fairness,4.74
IN,FC,blind_hut_benefit_score,IN658W,PONDS Super Light Serum: IN658W,instant_fairness,4.6
IN,FC,blind_hut_benefit_score,IN664S,PONDS cold cream: IN664S,instant_fairness,5.0
IN,FC,blind_hut_benefit_score,US239W,SUPERGOOP sunscreen: US239W,instant_fairness,4.5
IN,FC,blind_hut_benefit_score,IN660W,PONDS light moisturizer: IN660W,instant_fairness,5.15
IN,FC,blind_hut_benefit_score,IN650W,PONDS piccolo serum: IN650W,instant_fairness,4.99
IN,FC,blind_hut_benefit_score,IN661W,PONDS super light gel 0.25% menthol: IN661W,instant_fairness,4.87
IN,FC,blind_hut_benefit_score,IN662W,PONDS super light gel original: IN662W,instant_fairness,5.1
IN,FC,blind_hut_benefit_score,CN738W,TIMIER water rich protection makeup base: CN738W,instant_fairness,5.03
IN,FC,blind_hut_benefit_score,CN750W,VASELINE glutahya lotion: CN750W,instant_fairness,4.99
IN,FC,blind_hut_benefit_score,IN646W,VASELINE petroleum jelly: IN646W,instant_fairness,4.63
IN,FC,blind_hut_benefit_score,CN743S,VASELINE radiant glow lotion: CN743S,instant_fairness,5.24
IN,FC,blind_hut_benefit_score,IN654S,WHITE TONE soft and smooth face cream: IN654S,instant_fairness,5.17
IN,FC,blind_hut_benefit_score,IN659W,ALBION skin conditioner: IN659W,instant_fairness,4.58
IN,FC,blind_hut_benefit_score,IN652S,BOROPLUS antiseptic cream: IN652S,instant_fairness,4.86
IN,FC,blind_hut_benefit_score,CN740S,CathKidston Rose Mask: CN740S,instant_fairness,4.81
IN,FC,blind_hut_benefit_score,US241W,ELIZABETH ARDEN 8 hour cream: US241W,instant_fairness,4.07
IN,FC,blind_hut_benefit_score,IN641S,Fragrance caring florals - VIP list LY: IN641S,instant_fairness,5.25
IN,FC,blind_hut_benefit_score,IN649S,Nature republic aloe vera gel: IN649S,instant_fairness,4.87
IN,FC,blind_hut_benefit_score,IN655S,OLAY Natural Aura 7 IN ONE Instant Glowing Radiance with UV Protection: IN655S,instant_fairness,5.11
IN,FC,blind_hut_benefit_score,TH249W,OLAY retinol 24 night serum: TH249W,instant_fairness,4.69
IN,FC,blind_hut_benefit_score,IN653S,PONDS B122: IN653S,instant_fairness,5.18
IN,FC,blind_hut_benefit_score,IN663S,PONDS Bright Beauty Serum Cream: IN663S,instant_fairness,5.25
IN,FC,blind_hut_benefit_score,IN640S,Fragrance fresh florals - celestial AI: IN640S,instant_glow,5.25
IN,FC,blind_hut_benefit_score,IN644S,Fragrance fresh fruits - Olay berry body lotion: IN644S,instant_glow,5.23
IN,FC,blind_hut_benefit_score,IN643S,Fragrance fresh fruits - bali beach LLF2: IN643S,instant_glow,5.31
IN,FC,blind_hut_benefit_score,IN639S,Fragrance natural freshness - highland M: IN639S,instant_glow,5.26
IN,FC,blind_hut_benefit_score,IN642S,Fragrance opulent florals - vibrant M: IN642S,instant_glow,5.14
IN,FC,blind_hut_benefit_score,IN637S,Fragrance sparkling freshness - uplifting: IN637S,instant_glow,5.04
IN,FC,blind_hut_benefit_score,IN647W,JOHNSONS baby oil: IN647W,instant_glow,4.7
IN,FC,blind_hut_benefit_score,TH248W,JOHNSONS baby powder: TH248W,instant_glow,5.0
IN,FC,blind_hut_benefit_score,CN747W,KIEHLS multi corrective cream: CN747W,instant_glow,4.82
IN,FC,blind_hut_benefit_score,IN638S,Fragrance technical freshness - SY22: IN638S,instant_glow,5.09
IN,FC,blind_hut_benefit_score,CN739W,PONDS upper eye cream sea flower: CN739W,instant_glow,4.91
IN,FC,blind_hut_benefit_score,IN657S,GARNIER vitamin C Cream: IN657S,instant_glow,5.16
IN,FC,blind_hut_benefit_score,CN744W,PROYA cream: CN744W,instant_glow,4.94
IN,FC,blind_hut_benefit_score,IN651W,GARNIER vitamin C Serum: IN651W,instant_glow,4.95
IN,FC,blind_hut_benefit_score,IN656S,GLOW AND LOVELY multivitamin cream: IN656S,instant_glow,5.23
IN,FC,blind_hut_benefit_score,K56W,HADALABO gel: K56W,instant_glow,4.77
IN,FC,blind_hut_benefit_score,IN648S,SAFI Youth Gold Lifting 24K Gold Essence: IN648S,instant_glow,5.08
IN,FC,blind_hut_benefit_score,J13S,SHISEIDO Aqua Label Special Gel Cream Oil In: J13S,instant_glow,4.77
IN,FC,blind_hut_benefit_score,CN737W,SOFINA pink primer: CN737W,instant_glow,4.95
IN,FC,blind_hut_benefit_score,IN666S,LAKME absolute hydra pro tinted moisturizer: IN666S,instant_glow,5.31
IN,FC,blind_hut_benefit_score,IN665S,LAKME mousse foundation: IN665S,instant_glow,5.12
IN,FC,blind_hut_benefit_score,RU02W,LOREAL PARIS 1.5% Pure Hyaluronic Acid Serum: RU02W,instant_glow,4.73
IN,FC,blind_hut_benefit_score,IN658W,PONDS Super Light Serum: IN658W,instant_glow,4.58
IN,FC,blind_hut_benefit_score,IN664S,PONDS cold cream: IN664S,instant_glow,5.06
IN,FC,blind_hut_benefit_score,US239W,SUPERGOOP sunscreen: US239W,instant_glow,4.57
IN,FC,blind_hut_benefit_score,IN660W,PONDS light moisturizer: IN660W,instant_glow,5.2
IN,FC,blind_hut_benefit_score,IN650W,PONDS piccolo serum: IN650W,instant_glow,5.11
IN,FC,blind_hut_benefit_score,IN661W,PONDS super light gel 0.25% menthol: IN661W,instant_glow,4.94
IN,FC,blind_hut_benefit_score,IN662W,PONDS super light gel original: IN662W,instant_glow,5.08
IN,FC,blind_hut_benefit_score,CN738W,TIMIER water rich protection makeup base: CN738W,instant_glow,5.11
IN,FC,blind_hut_benefit_score,CN750W,VASELINE glutahya lotion: CN750W,instant_glow,5.07
IN,FC,blind_hut_benefit_score,IN646W,VASELINE petroleum jelly: IN646W,instant_glow,4.71
IN,FC,blind_hut_benefit_score,CN743S,VASELINE radiant glow lotion: CN743S,instant_glow,5.21
IN,FC,blind_hut_benefit_score,IN654S,WHITE TONE soft and smooth face cream: IN654S,instant_glow,5.14
IN,FC,blind_hut_benefit_score,IN659W,ALBION skin conditioner: IN659W,instant_glow,4.63
IN,FC,blind_hut_benefit_score,IN652S,BOROPLUS antiseptic cream: IN652S,instant_glow,4.89
IN,FC,blind_hut_benefit_score,CN740S,CathKidston Rose Mask: CN740S,instant_glow,4.72
IN,FC,blind_hut_benefit_score,US241W,ELIZABETH ARDEN 8 hour cream: US241W,instant_glow,4.14
IN,FC,blind_hut_benefit_score,IN641S,Fragrance caring florals - VIP list LY: IN641S,instant_glow,5.25
IN,FC,blind_hut_benefit_score,IN649S,Nature republic aloe vera gel: IN649S,instant_glow,5.02
IN,FC,blind_hut_benefit_score,IN655S,OLAY Natural Aura 7 IN ONE Instant Glowing Radiance with UV Protection: IN655S,instant_glow,5.08
IN,FC,blind_hut_benefit_score,TH249W,OLAY retinol 24 night serum: TH249W,instant_glow,4.66
IN,FC,blind_hut_benefit_score,IN653S,PONDS B122: IN653S,instant_glow,5.2
IN,FC,blind_hut_benefit_score,IN663S,PONDS Bright Beauty Serum Cream: IN663S,instant_glow,5.21
IN,FC,blind_hut_benefit_score,IN640S,Fragrance fresh florals - celestial AI: IN640S,makes_my_skin_glow,5.3
IN,FC,blind_hut_benefit_score,IN644S,Fragrance fresh fruits - Olay berry body lotion: IN644S,makes_my_skin_glow,5.23
IN,FC,blind_hut_benefit_score,IN643S,Fragrance fresh fruits - bali beach LLF2: IN643S,makes_my_skin_glow,5.36
IN,FC,blind_hut_benefit_score,IN639S,Fragrance natural freshness - highland M: IN639S,makes_my_skin_glow,5.27
IN,FC,blind_hut_benefit_score,IN642S,Fragrance opulent florals - vibrant M: IN642S,makes_my_skin_glow,5.16
IN,FC,blind_hut_benefit_score,IN637S,Fragrance sparkling freshness - uplifting: IN637S,makes_my_skin_glow,5.01
IN,FC,blind_hut_benefit_score,IN647W,JOHNSONS baby oil: IN647W,makes_my_skin_glow,4.74
IN,FC,blind_hut_benefit_score,TH248W,JOHNSONS baby powder: TH248W,makes_my_skin_glow,5.03
IN,FC,blind_hut_benefit_score,CN747W,KIEHLS multi corrective cream: CN747W,makes_my_skin_glow,4.82
IN,FC,blind_hut_benefit_score,IN638S,Fragrance technical freshness - SY22: IN638S,makes_my_skin_glow,5.11
IN,FC,blind_hut_benefit_score,CN739W,PONDS upper eye cream sea flower: CN739W,makes_my_skin_glow,4.93
IN,FC,blind_hut_benefit_score,IN657S,GARNIER vitamin C Cream: IN657S,makes_my_skin_glow,5.2
IN,FC,blind_hut_benefit_score,CN744W,PROYA cream: CN744W,makes_my_skin_glow,4.96
IN,FC,blind_hut_benefit_score,IN651W,GARNIER vitamin C Serum: IN651W,makes_my_skin_glow,4.96
IN,FC,blind_hut_benefit_score,IN656S,GLOW AND LOVELY multivitamin cream: IN656S,makes_my_skin_glow,5.22
IN,FC,blind_hut_benefit_score,K56W,HADALABO gel: K56W,makes_my_skin_glow,4.8
IN,FC,blind_hut_benefit_score,IN648S,SAFI Youth Gold Lifting 24K Gold Essence: IN648S,makes_my_skin_glow,5.03
IN,FC,blind_hut_benefit_score,J13S,SHISEIDO Aqua Label Special Gel Cream Oil In: J13S,makes_my_skin_glow,4.86
IN,FC,blind_hut_benefit_score,CN737W,SOFINA pink primer: CN737W,makes_my_skin_glow,4.91
IN,FC,blind_hut_benefit_score,IN666S,LAKME absolute hydra pro tinted moisturizer: IN666S,makes_my_skin_glow,5.22
IN,FC,blind_hut_benefit_score,IN665S,LAKME mousse foundation: IN665S,makes_my_skin_glow,5.08
IN,FC,blind_hut_benefit_score,RU02W,LOREAL PARIS 1.5% Pure Hyaluronic Acid Serum: RU02W,makes_my_skin_glow,4.84
IN,FC,blind_hut_benefit_score,IN658W,PONDS Super Light Serum: IN658W,makes_my_skin_glow,4.63
IN,FC,blind_hut_benefit_score,IN664S,PONDS cold cream: IN664S,makes_my_skin_glow,5.07
IN,FC,blind_hut_benefit_score,US239W,SUPERGOOP sunscreen: US239W,makes_my_skin_glow,4.56
IN,FC,blind_hut_benefit_score,IN660W,PONDS light moisturizer: IN660W,makes_my_skin_glow,5.17
IN,FC,blind_hut_benefit_score,IN650W,PONDS piccolo serum: IN650W,makes_my_skin_glow,5.07
IN,FC,blind_hut_benefit_score,IN661W,PONDS super light gel 0.25% menthol: IN661W,makes_my_skin_glow,4.9
IN,FC,blind_hut_benefit_score,IN662W,PONDS super light gel original: IN662W,makes_my_skin_glow,5.12
IN,FC,blind_hut_benefit_score,CN738W,TIMIER water rich protection makeup base: CN738W,makes_my_skin_glow,5.06
IN,FC,blind_hut_benefit_score,CN750W,VASELINE glutahya lotion: CN750W,makes_my_skin_glow,5.12
IN,FC,blind_hut_benefit_score,IN646W,VASELINE petroleum jelly: IN646W,makes_my_skin_glow,4.79
IN,FC,blind_hut_benefit_score,CN743S,VASELINE radiant glow lotion: CN743S,makes_my_skin_glow,5.2
IN,FC,blind_hut_benefit_score,IN654S,WHITE TONE soft and smooth face cream: IN654S,makes_my_skin_glow,5.14
IN,FC,blind_hut_benefit_score,IN659W,ALBION skin conditioner: IN659W,makes_my_skin_glow,4.65
