country_code,category_code,record_type,product_code,product_name,pc1,pc2,benefit
IN,FC,pca_coordinate,in819s,joy daily brightening vitamin c papaya spf40,-0.032,28.512,SUNCARE
IN,FC,pca_coordinate,in820s,joy ultra matte dry touch spf50,-3.725,-8.277,SUNCARE
IN,FC,pca_coordinate,in821s,lotus uv screen matte gel spf50,4.285,11.986,SUNCARE
IN,FC,pca_coordinate,in822s,lotus 3 in 1 matte look daily sunscreen spf40,1.945,-0.789,SUNCARE
IN,FC,pca_coordinate,in833w,simple protecting light spf 15 0.1 pct moringa oil,-9.705,4.111,SUNCARE
IN,FC,pca_coordinate,in834w,dot key cica calming oil free moisturizer,-12.064,30.638,BARRIER
IN,FC,pca_coordinate,in835w,minimalist 10 pct vitamin b5 moisturizer,-20.671,2.72,BARRIER
IN,FC,pca_coordinate,in836w,glow and handsome rapid action cream,49.193,-36.528,TONE
IN,FC,pca_coordinate,in837w,garnier men turbobright anti pollution brightening moisturizer,-7.391,14.27,TONE
IN,FC,pca_coordinate,in845s,ca15,51.454,-48.051,TONE
IN,FC,pca_coordinate,in846s,om19,53.47,-46.455,TONE
IN,FC,pca_coordinate,in847s,ct16,51.334,-47.615,TONE
IN,FC,pca_coordinate,in848s,lt13,49.017,-45.852,TONE
IN,FC,pca_coordinate,in849s,se23,51.444,-45.597,TONE
IN,FC,pca_coordinate,in850s,dm25,14.956,-29.442,TONE
IN,FC,pca_coordinate,in851w,dot key strawberry dew tinted sunscreen 03 sand_dkts,-10.11,60.693,SUNCARE
IN,FC,pca_coordinate,in852w,lakme dry matte tinted fluid_ldmtf,-9.17,64.328,SUNCARE
IN,FC,pca_coordinate,in853w,garnier super uv invisible serum sunscreen_gss,-3.772,70.083,SUNCARE
IN,FC,pca_coordinate,in854w,neutrogena ultra sheer dry touch sunblock spf50_nuts,-7.301,34.903,SUNCARE
IN,FC,pca_coordinate,in855w,dot key vitamin ce super bright sunscreen spf50_dkvcs,2.987,88.482,SUNCARE
IN,FC,pca_coordinate,in856w,lakme sun expert dry matte fluid spf50_ldmfs,-12.746,71.253,SUNCARE
IN,FC,pca_coordinate,in857w,lakme sun expert super matte sunscreen lotion_lsml,-19.324,11.261,SUNCARE
IN,FC,pca_coordinate,in858w,internal prototype glo_lglo,-22.266,26.518,SUNCARE
IN,FC,pca_coordinate,in862s,glow and lovely glass bright ultralight gel crème_in732s,-2.28,-6.39,TONE
IN,FC,pca_coordinate,in863s,mamaearth retinol face serum_pm55_in591w,-18.64,-1.05,TEXTURE
IN,FC,pca_coordinate,in864s,lakme glycolic illuminate serum_ea76_in587w,22.73,125.03,TONE
IN,FC,pca_coordinate,in865s,olay retinol24 night serum frag free_wx14_in590w,-27.11,84.79,TEXTURE
IN,FC,pca_coordinate,in866s,lakme perfect radiance serum_tc39_in588w,-15.85,78.91,TONE
IN,FC,pca_coordinate,in867w,aqualogica glow infused water sunscreen spf 50_in711w,-20.97,73.76,SUNCARE
IN,FC,pca_coordinate,in868w,dot key strawberry dew tinted sunscreen 03 sand_dkts_in851w,-7.61,65.23,SUNCARE
IN,FC,pca_coordinate,in871w,cerave facial moisturizing lotion pm_3337875597449_in827w,-18.5,19.07,BARRIER
IN,FC,pca_coordinate,in872s,glow and lovely glass bright ultralight gel crème_in732s,-1.511,-8.518,TONE
IN,FC,pca_coordinate,in877w,glow and lovely spf 35 gel_in596w,-12.757,35.501,SUNCARE
IN,FC,pca_coordinate,in878w,glow and lovely spf 50 cream_in597w,-16.745,1.955,SUNCARE
IN,FC,pca_coordinate,in879w,garnier super uv invisible serum sunscreen_in853w,-4.212,72.321,SUNCARE
IN,FC,pca_coordinate,in874s,joy ultra matte dry touch spf50_in820s,0.939,-9.037,SUNCARE
IN,FC,pca_coordinate,hu20w,simple kind to skin hydrating light moisturizer_hu15s,2.958,2.888,SUNCARE
IN,FC,pca_coordinate,in875w,loreal paris glycolic bright glowing day cream spf30_in829w,-16.01,-2.92,BRIGHTENING
IN,FC,pca_coordinate,in876w,glow and handsome rapid action cream_in836w,50.158,-36.867,BRIGHTENING
IN,FC,pca_coordinate,in881w,dot key blueberry hydrate barrier repair sunscreen spf50_in815w,-10.74,24.65,SUNCARE
IN,FC,pca_coordinate,id268w,gal spf 50 cream current_gal 03,-21.293,-11.137,SUNCARE
IN,FC,pca_coordinate,id269w,gal spf 50 cream mod_kaj_vr11,-21.409,-3.346,SUNCARE
IN,FC,pca_coordinate,id270w,gal spf 50 cream_kaj_gp 06,-22.738,-12.813,SUNCARE
IN,FC,pca_coordinate,in883s,glow and lovely mv cream_hj25,51.685,-44.76,TONE
IN,FC,pca_coordinate,in884s,ponds light cream with uv filter_ch18_lj77,7.404,-18.707,TONE
IN,FC,pca_coordinate,in885s,pbbproto4_op33,2.601,-22.522,TONE
IN,FC,pca_coordinate,in886s,pbbproto2_dy11,6.923,-19.716,TONE
IN,FC,pca_coordinate,in887s,pbbproto3_sd44,3.477,-18.815,TONE
IN,FC,pca_coordinate,in597w,glow and lovely spf 50 cream,-15.746,5.742,SUNCARE
IN,FC,pca_coordinate,in596w,glow and lovely spf 35 gel,-9.711,40.812,SUNCARE
IN,FC,pca_coordinate,in605w,plgm02 mod with aox,-4.902,36.892,SUNCARE
IN,FC,pca_coordinate,in606w,nivea uv face shine control spf 50,-20.264,-8.154,SUNCARE
IN,FC,pca_coordinate,in607w,nivea uv face sensitive spf 50,-18.109,-4.124,SUNCARE
IN,FC,pca_coordinate,in608w,nivea kids protect and care spf 50,-10.494,21.152,SUNCARE
IN,FC,pca_coordinate,in609w,lotus uv screen matte gel spf 50,2.279,37.125,SUNCARE
IN,FC,pca_coordinate,in610w,nfd translucent spf 50 gel_mod1,-5.842,49.031,SUNCARE
IN,FC,pca_coordinate,in611w,grant industries water gel invisible sunscreen,-4.499,46.586,SUNCARE
IN,FC,pca_coordinate,in617s,ponds bright beauty serum,5.436,96.661,SKIN LIGHTENING
IN,FC,pca_coordinate,in618s,pbb_t3,4.933,95.214,SKIN LIGHTENING
IN,FC,pca_coordinate,in619s,pbb_t5,2.472,89.056,SKIN LIGHTENING
IN,FC,pca_coordinate,in620s,garnier vitamin c serum,11.557,107.194,SKIN LIGHTENING
IN,FC,pca_coordinate,in621w,b7g35_matte gal spf35,18.864,15.003,SUNCARE
IN,FC,pca_coordinate,in612w,pbb_yt11 (pslg mod),-17.309,5.232,TONE
IN,FC,pca_coordinate,in613w,pbb_aq10 (pslg mod with powder finish),-18.244,8.916,TONE
IN,FC,pca_coordinate,in614w,pbb_si89 (cb3 mod),-7.756,-3.037,TONE
IN,FC,pca_coordinate,in615w,pbb_tr54 (on9 mod),-3.629,-6.533,TONE
IN,FC,pca_coordinate,in616w,pbb_mo12 (l63 mod),49.996,-45.671,TONE
IN,FC,pca_coordinate,in622w,plm current,-12.64,-12.947,BARRIER
IN,FC,pca_coordinate,in623w,plm steric acid resilience,-13.964,-2.823,BARRIER
IN,FC,pca_coordinate,in624w,plm gel creme v4_ jt19,-16.251,3.196,BARRIER
IN,FC,pca_coordinate,in625w,plm soft cream v2_jr31,-21.065,0.147,BARRIER
IN,FC,pca_coordinate,in626w,plm ap12_iu65,-18.083,11.457,BARRIER
IN,FC,pca_coordinate,in627w,nivea soft cream_mn10,-19.001,-1.08,BARRIER
IN,FC,pca_coordinate,in630w,gal spf35 original_g35,-10.725,13.549,SUNCARE
IN,FC,pca_coordinate,in631w,gal spf35_1 pct b110_b1g35,8.705,14.634,SUNCARE
IN,FC,pca_coordinate,in632w,gal spf35_3 pct b110_b1g35,14.013,12.355,SUNCARE
IN,FC,pca_coordinate,in633w,pslg current,-17.526,31.585,BARRIER
IN,FC,pca_coordinate,in888s,pbbproto1_wn23_mpt5_ui55,3.715,-12.657,TONE
IN,FC,pca_coordinate,in634w,pslg with snf avc_resilience,-17.894,30.754,BARRIER
IN,FC,pca_coordinate,in893w,plm current_i022,-15.706,8.808,BARRIER
IN,FC,pca_coordinate,in635w,pslg core_5 pct heu,-17.225,32.354,BARRIER
IN,FC,pca_coordinate,in894w,plm p3_we55,-13.188,7.235,BARRIER
IN,FC,pca_coordinate,cn733w,spf_ihd,-31.243,23.502,SUNCARE
IN,FC,pca_coordinate,in895w,plm p1_my11,-9.685,5.557,BARRIER
IN,FC,pca_coordinate,in645w,plgm02,0.736,36.58,SUNCARE
IN,FC,pca_coordinate,in896w,plm p4_ar21,-7.284,-1.038,BARRIER
IN,FC,pca_coordinate,in897w,plm p2_ju88,-15.698,-3.726,BARRIER
IN,FC,pca_coordinate,in898w,joy fruit moisturizing skin cream_8904035416626_ty15,-33.879,-15.56,BARRIER
IN,FC,pca_coordinate,in899w,nivea soft_42204091_pr99,-18.72,7.702,BARRIER
IN,FC,pca_coordinate,in900s,pslg current_hu24,-19.593,26.679,BARRIER
IN,FC,pca_coordinate,in901s,pslg p2_pl06,-18.131,27.459,BARRIER
IN,FC,pca_coordinate,in902s,pslg p3_nh08,-16.284,27.268,BARRIER
IN,FC,pca_coordinate,in903s,pslg p4_cq02,-16.66,22.553,BARRIER
IN,FC,pca_coordinate,in904s,pslg p1_sg04,-14.714,25.164,BARRIER
IN,FC,pca_coordinate,in764w,plgm02_with alcohol,4.55,43.604,SUNCARE
IN,FC,pca_coordinate,in765w,plgm06_mod1_without alcohol,1.869,54.306,SUNCARE
IN,FC,pca_coordinate,in766w,plgm06_mod2_without alcohol,3.228,52.824,SUNCARE
IN,FC,pca_coordinate,in776w,pslg current with emotive chm_or,-18.368,29.386,BARRIER
IN,FC,pca_coordinate,in777w,pslg_3 pct heu_5fmod1_jb01,-17.56,28.729,BARRIER
IN,FC,pca_coordinate,in778w,pslg_3 pct vpo2_mod5_tm12,-13.768,34.172,BARRIER
IN,FC,pca_coordinate,in769s,gc-1,-7.366,-15.721,TONE
IN,FC,pca_coordinate,in770s,gvc-1,-1.671,-6.827,TONE
IN,FC,pca_coordinate,in771s,ngvc,1.641,-8.048,TONE
IN,FC,pca_coordinate,in772s,gc-2,-1.147,-6.799,TONE
IN,FC,pca_coordinate,in773s,gc-3,-7.467,27.559,TONE
IN,FC,pca_coordinate,in774s,ghc,-0.179,25.036,TONE
IN,FC,pca_coordinate,in775s,gic,-6.36,18.603,TONE
IN,FC,pca_coordinate,in780w,eucerin anti pigment dual serum,-17.474,39.672,TONE
IN,FC,pca_coordinate,in782w,eucerin pigment control spf50,-14.313,1.537,SUNCARE
IN,FC,pca_coordinate,in783w,nivea oil control day cream spf50,-19.355,0.29,SUNCARE
IN,FC,pca_coordinate,in784w,eucerin anti pigment day care spf30,-9.78,41.845,SUNCARE
IN,FC,pca_coordinate,in785w,eucerin anti pigment night care,-25.988,-0.971,TONE
IN,FC,pca_coordinate,in652s,boroplus antiseptic cream,-48.66,-96.21,BARRIER
IN,FC,pca_coordinate,in651w,garnier bright complete vitamin c serum,-2.04,110.9,TONE
IN,FC,pca_coordinate,in657s,garnier vitamin c cream,50.17,-37.63,TONE
IN,FC,pca_coordinate,in656s,glow and lovely multivitamin cream,50.77,-44.86,TONE
IN,FC,pca_coordinate,in666s,lakme absolute hydra pro tinted moisturizer,11.87,-15.86,SUNCARE
IN,FC,pca_coordinate,in655s,olay natural aura 7 in one instant glowing radiance with uv protection,14.85,-19.65,TONE
IN,FC,pca_coordinate,in663s,ponds bright beauty serum cream spf15,50.74,-46.12,SUNCARE
IN,FC,pca_coordinate,in664s,ponds cold cream,-36.98,-42.48,BARRIER
IN,FC,pca_coordinate,in660w,ponds light moisturizer,-12.52,13.68,BARRIER
IN,FC,pca_coordinate,in650w,ponds piccolo serum,-1.62,95.84,TONE
IN,FC,pca_coordinate,in662w,ponds super light gel original,-19.42,28.66,BARRIER
IN,FC,pca_coordinate,in654s,white tone soft and smooth face cream,12.33,-23.42,BARRIER
IN,FC,pca_coordinate,in786s,df18,33.865,120.638,TONE
IN,FC,pca_coordinate,in591w,mamaearth retinol face serum_pm55,-19.397,-1.05,TEXTURE
IN,FC,pca_coordinate,in592w,minimalist 5 ct niacinamide serum_pr72,11.31,131.344,TONE
IN,FC,pca_coordinate,in595w,internal tinted serum_ku53,4.473,78.747,SUNCARE
IN,FC,pca_coordinate,in580w,lotus professional phyto-rx sunblock mist spf50,26.132,80.693,SUNCARE
IN,FC,pca_coordinate,in581w,aqualogica glow+ dewy lightweight & hydrating sunscreen with spf 50+ & pa++++,-17.633,2.766,SUNCARE
IN,FC,pca_coordinate,in582w,minimalist sunscreen spf 50 pa++++,-9.636,-15.187,SUNCARE
IN,FC,pca_coordinate,in583w,conscious chemist® sun drink hybrid lightweight gel sunscreen spf50 pa++++,-12.675,-12.395,SUNCARE
IN,FC,pca_coordinate,in584w,"the derma co 1% hyaluronic sunscreen spf 50 aqua gel, pa++++",-18.5,-4.815,SUNCARE
IN,FC,pca_coordinate,in585w,lakme 9 to 5 aqua sun gel 1 pct hyaluronic complex spf 50,-10.969,19.001,SUNCARE
IN,FC,pca_coordinate,in586w,lakme 9 to 5 aqua sun gel 1 pct niac complex spf 50,-10.862,24.531,SUNCARE
IN,FC,pca_coordinate,in789s,cv66,9.191,99.576,TONE
IN,FC,pca_coordinate,in790s,lm62,11.336,95.058,TONE
IN,FC,pca_coordinate,in791w,ch18,-6.386,-9.979,TONE
IN,FC,pca_coordinate,in792w,ch18_mod,-5.291,-9.71,TONE
IN,FC,pca_coordinate,in799w,slgm 01,-3.619,46.655,SUNCARE
IN,FC,pca_coordinate,in800w,slgm 02,-2.957,40.438,SUNCARE
IN,FC,pca_coordinate,in801w,phld 19_hes,-12.308,25.248,SUNCARE
IN,FC,pca_coordinate,in794s,gal mv control_y25m09,51.668,-42.984,TONE
IN,FC,pca_coordinate,in795s,gal mv a1,51.47,-45.117,TONE
IN,FC,pca_coordinate,in796s,gal mv a2,50.977,-46.148,TONE
IN,FC,pca_coordinate,in797s,gal mv a3,50.985,-41.982,TONE
IN,FC,pca_coordinate,in798s,gal mv a4,50.839,-43.186,TONE
IN,FC,pca_coordinate,in802w,sk06_14 pct sunscreen,-23.243,-7.836,SUNCARE
IN,FC,pca_coordinate,in803w,km03_15 pct sunscreen,-24.029,-13.256,SUNCARE
IN,FC,pca_coordinate,in808w,pu76_10 pct sunscreen_spf50,-10.842,41.823,SUNCARE
IN,FC,pca_coordinate,in809w,qe25_12 pct sunscreen_spf50,-13.942,41.711,SUNCARE
IN,FC,pca_coordinate,in810w,rg12_12.5 pct sunscreen_spf50,-12.601,41.473,SUNCARE
IN,FC,pca_coordinate,in811w,oz39_slgm02c,-18.572,24.081,SUNCARE
IN,FC,pca_coordinate,in812w,tu89_st prototype,-9.538,48.514,SUNCARE
IN,FC,pca_coordinate,in815w,dot key blueberry hydrate barrier repair sunscreen spf50,-13.85,17.17,SUNCARE
IN,FC,pca_coordinate,in813w,hydra freeze_cv23,-19.858,3.081,BARRIER
IN,FC,pca_coordinate,in814w,dot key 72 hr hydrating gel moisturizer,-8.377,42.873,BARRIER
IN,FC,pca_coordinate,in816w,dot key barrier repair moisturizer_frag free,-25.032,-3.727,BARRIER
IN,FC,pca_coordinate,in828w,debutante am spf 30 cream,-14.795,-11.919,TEXTURE
IN,FC,pca_coordinate,in829w,loreal paris glycolic bright glowing day cream spf30,-10.381,-3.974,TEXTURE
IN,FC,pca_coordinate,in824w,cerave facial moisturizing lotion spf30,-16.572,-0.889,TEXTURE
IN,FC,pca_coordinate,in825w,cerave facial moisturizing lotion spf 50,-18.663,-3.697,TEXTURE
IN,FC,pca_coordinate,in830w,cetaphil brightening day protection cream spf15,-25.158,-28.017,TEXTURE
IN,FC,pca_coordinate,in826w,debutante pm pslg 3 pct niacinamide 0.25 pct acemet,-17.347,36.772,TEXTURE
IN,FC,pca_coordinate,in823w,neutrogena hyaluronic acid water gel_9300607563238,-12.161,26.512,TEXTURE
IN,FC,pca_coordinate,id258w,loreal paris hyaluronic acid line filling water cream_6923700981209,-22.931,27.462,TEXTURE
IN,FC,pca_coordinate,in724w,joy ultra matte broad spectrum protection sunscreen spf50,-17.037,-0.072,SUNCARE
IN,FC,pca_coordinate,in731w,mattifying fluid insm01,-14.746,82.412,SUNCARE
IN,FC,pca_coordinate,in733s,cerave moisturizing cream in,-3.008,-41.28,BARRIER
IN,FC,pca_coordinate,in734s,cetaphil moisturizing cream in,-13.906,-58.286,BARRIER
IN,FC,pca_coordinate,in727s,cr56_gal matte cream with actives,25.553,-22.825,BARRIER
IN,FC,pca_coordinate,in730s,cc18id_gal cream giselle with increased ipm,52.385,-44.2,BARRIER
IN,FC,pca_coordinate,in735w,lakme 9to 5 sun expert gel_cd02,-9.353,17.922,SUNCARE
IN,FC,pca_coordinate,in736w,lotus uv matte gel_ab01,9.466,29.287,SUNCARE
IN,FC,pca_coordinate,in737w,sgm1,-9.212,44.354,SUNCARE
IN,FC,pca_coordinate,in738w,sgm2,-7.215,66.265,SUNCARE
IN,FC,pca_coordinate,in739w,sgm3,-13.825,37.16,SUNCARE
IN,FC,pca_coordinate,in732s,glow and lovely glass bright ultralight gel creme,2.804,-7.435,TONE
IN,FC,pca_coordinate,in741w,simple sunkiss tinted fluid vn,-6.686,77.801,SUNCARE
IN,FC,pca_coordinate,in740w,simple sunkiss tinted fluid uk,-8.853,63.713,SUNCARE
IN,FC,pca_coordinate,in742w,yo99_pslg current with emotive chm,-17.369,30.372,BARRIER
IN,FC,pca_coordinate,in743w,dm35_pslg 5f_cooling,-18.819,29.033,BARRIER
IN,FC,pca_coordinate,in744w,er12_pslg 5f1 mod 1 improved_cooling_shine,-15.548,28.0,BARRIER
IN,FC,pca_coordinate,in745w,we77_pslg 5f1 mod 2 improved_cooling_without shine,-18.824,28.66,BARRIER
IN,FC,pca_coordinate,in746w,hy44_pslg 10_pcl liquid 1pct_cooling,-17.79,28.894,BARRIER
IN,FC,pca_coordinate,in747w,nivea soft india new,-18.695,5.579,BARRIER
IN,FC,pca_coordinate,in758w,lakme sun expert tint hint,-22.98,-33.815,SUNCARE
IN,FC,pca_coordinate,in759w,dot key strawberry dew tinted sunscreen 02 warm ivory,-1.977,64.766,SUNCARE
IN,FC,pca_coordinate,in760w,aqualogica glow infused tinted sunscreen,-32.715,-5.069,SUNCARE
IN,FC,pca_coordinate,in761w,the derma co 1pct hyaluronic tinted sunscreen gel,-19.136,-75.241,SUNCARE
IN,FC,pca_coordinate,in762w,reequil sheer zinc tinted sunscreen,-26.354,-84.598,SUNCARE
IN,FC,pca_coordinate,in756w,lakme peach milk vit e creme moisturizer_mm33,-18.123,2.127,BARRIER
IN,FC,pca_coordinate,in751w,ng dream day cream fnd32694_ed33,-20.216,13.299,BARRIER
IN,FC,pca_coordinate,in752w,olay retinol24 max night moisturizer_bg99,-38.893,-7.444,TEXTURE
IN,FC,pca_coordinate,in753w,pilgrim 24k gold gel moisturizer_kt20,17.568,32.249,BARRIER
IN,FC,pca_coordinate,in754w,ng sorbet gel spf30 fnd32692_fn80,5.78,-11.614,SUNCARE
IN,FC,pca_coordinate,in755w,olay whip uv moisturizer spf30_yt55,-20.516,-11.663,SUNCARE
