id,stage_no,record_type,stage,attr_group,benefit,attribute,attr_low,attr_medium,attr_high,category_code,country_code,stage_group,attribute_rank
21,2,sst_attribute_rank,CLT B9-10,Skin feel IMD,Overall opinion,in_sticky_imm,4.29,0,73.21,FC,IN,CLT B9-10 Skin feel IMD,9
22,2,sst_attribute_rank,CLT B9-10,Skin feel IMD,Overall opinion,ft_firmness,6.71,0,79.57,FC,IN,CLT B9-10 Skin feel IMD,10
23,2,sst_attribute_rank,CLT B9-10,Skin feel IMD,Overall opinion,ft_stringiness,3.57,0,67.36,FC,IN,CLT B9-10 Skin feel IMD,11
24,2,sst_attribute_rank,CLT B9-10,Skin feel IMD,Overall opinion,in_creamy,7.0,0,65.33,FC,IN,CLT B9-10 Skin feel IMD,12
25,2,sst_attribute_rank,CLT B9-10,Skin feel IMD,Overall opinion,in_greasy_imm,2.5,0,79.21,FC,IN,CLT B9-10 Skin feel IMD,13
26,2,sst_attribute_rank,CLT B9-10,Skin feel IMD,Overall opinion,in_oily_imm,0.64,0,79.64,FC,IN,CLT B9-10 Skin feel IMD,14
27,2,sst_attribute_rank,CLT B9-10,Skin feel IMD,Overall opinion,in_cooling_imm,0.0,0,19.29,FC,IN,CLT B9-10 Skin feel IMD,15
28,2,sst_attribute_rank,CLT B9-10,Skin feel IMD,Overall opinion,in_spreadability,35.93,0,95.64,FC,IN,CLT B9-10 Skin feel IMD,16
29,2,sst_attribute_rank,CLT B9-10,Skin feel IMD,Overall opinion,amount_of_residue,22.21,0,93.79,FC,IN,CLT B9-10 Skin feel IMD,17
1831,10,sst_attribute_rank,CLT B15-16,CLT Fingertip,Sun protection,in_drag_imm,7.86,0,79.73,FC,IN,CLT B15-16 CLT Fingertip,7
2563,5,sst_attribute_rank,CLT B5-6,Fragrance In Jar,No patchy look,fr_Fruity,0.0,0,1.0,FC,IN,CLT B5-6 Fragrance In Jar,10
1832,10,sst_attribute_rank,CLT B15-16,CLT Fingertip,Sun protection,in_waxy_imm,5.0,0,31.53,FC,IN,CLT B15-16 CLT Fingertip,8
30,2,sst_attribute_rank,CLT B9-10,Skin feel IMD,Overall opinion,in_drag_imm,7.86,0,79.73,FC,IN,CLT B9-10 Skin feel IMD,18
31,3,sst_attribute_rank,CLT B13-14,CLT Fragrance IMD,Overall opinion,fr_Green,0.0,0,1.0,FC,IN,CLT B13-14 CLT Fragrance IMD,1
32,3,sst_attribute_rank,CLT B13-14,CLT Fragrance IMD,Overall opinion,fr_Aromatic_Herbeaous,0.0,0,1.0,FC,IN,CLT B13-14 CLT Fragrance IMD,2
33,3,sst_attribute_rank,CLT B13-14,CLT Fragrance IMD,Overall opinion,fr_Aldehydic,0.0,0,1.0,FC,IN,CLT B13-14 CLT Fragrance IMD,3
34,3,sst_attribute_rank,CLT B13-14,CLT Fragrance IMD,Overall opinion,fr_Musky,0.0,0,1.0,FC,IN,CLT B13-14 CLT Fragrance IMD,4
35,3,sst_attribute_rank,CLT B13-14,CLT Fragrance IMD,Overall opinion,in_fragrance_5min,15.43,0,64.07,FC,IN,CLT B13-14 CLT Fragrance IMD,5
36,3,sst_attribute_rank,CLT B13-14,CLT Fragrance IMD,Overall opinion,in_fragrance_imm,24.36,0,74.73,FC,IN,CLT B13-14 CLT Fragrance IMD,6
37,3,sst_attribute_rank,CLT B13-14,CLT Fragrance IMD,Overall opinion,fr_Watery_Marine,0.0,0,1.0,FC,IN,CLT B13-14 CLT Fragrance IMD,7
38,3,sst_attribute_rank,CLT B13-14,CLT Fragrance IMD,Overall opinion,fr_Powdery,0.0,0,1.0,FC,IN,CLT B13-14 CLT Fragrance IMD,8
39,3,sst_attribute_rank,CLT B13-14,CLT Fragrance IMD,Overall opinion,fr_Woody,0.0,0,1.0,FC,IN,CLT B13-14 CLT Fragrance IMD,9
1467,6,sst_attribute_rank,CLT B11-12,CLT Skin Feel 10min,Reduce dark circles,in_spreadability,35.93,0,95.64,FC,IN,CLT B11-12 CLT Skin Feel 10min,7
40,3,sst_attribute_rank,CLT B13-14,CLT Fragrance IMD,Overall opinion,fr_Citrus,0.0,0,1.0,FC,IN,CLT B13-14 CLT Fragrance IMD,10
41,3,sst_attribute_rank,CLT B13-14,CLT Fragrance IMD,Overall opinion,fr_Amber,0.0,0,1.0,FC,IN,CLT B13-14 CLT Fragrance IMD,11
1468,6,sst_attribute_rank,CLT B11-12,CLT Skin Feel 10min,Reduce dark circles,ft_stringiness,3.57,0,67.36,FC,IN,CLT B11-12 CLT Skin Feel 10min,8
42,3,sst_attribute_rank,CLT B13-14,CLT Fragrance IMD,Overall opinion,fr_Floral,0.0,0,1.0,FC,IN,CLT B13-14 CLT Fragrance IMD,12
1469,6,sst_attribute_rank,CLT B11-12,CLT Skin Feel 10min,Reduce dark circles,in_oily_5min,0.71,0,73.57,FC,IN,CLT B11-12 CLT Skin Feel 10min,9
43,3,sst_attribute_rank,CLT B13-14,CLT Fragrance IMD,Overall opinion,fr_Fruity,0.0,0,1.0,FC,IN,CLT B13-14 CLT Fragrance IMD,13
1470,6,sst_attribute_rank,CLT B11-12,CLT Skin Feel 10min,Reduce dark circles,in_wet,1.79,0,89.79,FC,IN,CLT B11-12 CLT Skin Feel 10min,10
44,3,sst_attribute_rank,CLT B13-14,CLT Fragrance IMD,Overall opinion,fr_Gourmand,0.0,0,1.0,FC,IN,CLT B13-14 CLT Fragrance IMD,14
1471,6,sst_attribute_rank,CLT B11-12,CLT Skin Feel 10min,Reduce dark circles,ft_peaking,3.57,0,78.27,FC,IN,CLT B11-12 CLT Skin Feel 10min,11
45,4,sst_attribute_rank,CLT B1-2,Skin Look IMD,Overall opinion,in_coverage_imm,4.64,0,70.27,FC,IN,CLT B1-2 Skin Look IMD,1
1472,6,sst_attribute_rank,CLT B11-12,CLT Skin Feel 10min,Reduce dark circles,in_cooling,0.0,0,27.93,FC,IN,CLT B11-12 CLT Skin Feel 10min,12
46,4,sst_attribute_rank,CLT B1-2,Skin Look IMD,Overall opinion,in_fairness_imm,4.33,0,50.21,FC,IN,CLT B1-2 Skin Look IMD,2
1473,6,sst_attribute_rank,CLT B11-12,CLT Skin Feel 10min,Reduce dark circles,ft_sticky,4.93,0,74.43,FC,IN,CLT B11-12 CLT Skin Feel 10min,13
1474,6,sst_attribute_rank,CLT B11-12,CLT Skin Feel 10min,Reduce dark circles,tightness_5min,16.57,0,73.53,FC,IN,CLT B11-12 CLT Skin Feel 10min,14
47,4,sst_attribute_rank,CLT B1-2,Skin Look IMD,Overall opinion,in_fairness_5min,4.33,0,43.21,FC,IN,CLT B1-2 Skin Look IMD,3
1475,6,sst_attribute_rank,CLT B11-12,CLT Skin Feel 10min,Reduce dark circles,ft_firmness,6.71,0,79.57,FC,IN,CLT B11-12 CLT Skin Feel 10min,15
48,4,sst_attribute_rank,CLT B1-2,Skin Look IMD,Overall opinion,in_coverage_5min,4.64,0,67.47,FC,IN,CLT B1-2 Skin Look IMD,4
1476,6,sst_attribute_rank,CLT B11-12,CLT Skin Feel 10min,Reduce dark circles,in_drag_5min,9.5,0,71.4,FC,IN,CLT B11-12 CLT Skin Feel 10min,16
49,4,sst_attribute_rank,CLT B1-2,Skin Look IMD,Overall opinion,in_invisibility_imm,5.43,0,51.33,FC,IN,CLT B1-2 Skin Look IMD,5
1477,6,sst_attribute_rank,CLT B11-12,CLT Skin Feel 10min,Reduce dark circles,in_absorption,24.29,0,115.0,FC,IN,CLT B11-12 CLT Skin Feel 10min,17
50,4,sst_attribute_rank,CLT B1-2,Skin Look IMD,Overall opinion,in_invisibility_5min,4.93,0,50.67,FC,IN,CLT B1-2 Skin Look IMD,6
367,3,sst_attribute_rank,CLT B13-14,CLT Fragrance IMD,Instant glow,fr_Fruity,0.0,0,1.0,FC,IN,CLT B13-14 CLT Fragrance IMD,8
1478,10,sst_attribute_rank,CLT B15-16,CLT Fingertip,Reduce dark circles,in_thickness,11.71,0,75.67,FC,IN,CLT B15-16 CLT Fingertip,1
51,4,sst_attribute_rank,CLT B1-2,Skin Look IMD,Overall opinion,patchy_residue_imm,4.29,0,39.07,FC,IN,CLT B1-2 Skin Look IMD,7
368,3,sst_attribute_rank,CLT B13-14,CLT Fragrance IMD,Instant glow,fr_Citrus,0.0,0,1.0,FC,IN,CLT B13-14 CLT Fragrance IMD,9
1479,10,sst_attribute_rank,CLT B15-16,CLT Fingertip,Reduce dark circles,in_creamy,7.0,0,65.33,FC,IN,CLT B15-16 CLT Fingertip,2
52,4,sst_attribute_rank,CLT B1-2,Skin Look IMD,Overall opinion,in_gloss_imm,4.29,0,82.86,FC,IN,CLT B1-2 Skin Look IMD,8
1480,10,sst_attribute_rank,CLT B15-16,CLT Fingertip,Reduce dark circles,in_greasy,3.93,0,82.86,FC,IN,CLT B15-16 CLT Fingertip,3
53,4,sst_attribute_rank,CLT B1-2,Skin Look IMD,Overall opinion,in_gloss_5min,3.57,0,76.14,FC,IN,CLT B1-2 Skin Look IMD,9
1481,10,sst_attribute_rank,CLT B15-16,CLT Fingertip,Reduce dark circles,oily_ft,0.0,0,92.07,FC,IN,CLT B15-16 CLT Fingertip,4
54,4,sst_attribute_rank,CLT B1-2,Skin Look IMD,Overall opinion,in_powderylook_5min,4.64,0,22.73,FC,IN,CLT B1-2 Skin Look IMD,10
1482,10,sst_attribute_rank,CLT B15-16,CLT Fingertip,Reduce dark circles,in_sticky_imm,4.29,0,73.21,FC,IN,CLT B15-16 CLT Fingertip,5
369,3,sst_attribute_rank,CLT B13-14,CLT Fragrance IMD,Instant glow,fr_Amber,0.0,0,1.0,FC,IN,CLT B13-14 CLT Fragrance IMD,10
1483,10,sst_attribute_rank,CLT B15-16,CLT Fingertip,Reduce dark circles,in_greasy_imm,2.5,0,79.21,FC,IN,CLT B15-16 CLT Fingertip,6
55,4,sst_attribute_rank,CLT B1-2,Skin Look IMD,Overall opinion,patchy_residue_in,7.86,0,79.6,FC,IN,CLT B1-2 Skin Look IMD,11
1484,10,sst_attribute_rank,CLT B15-16,CLT Fingertip,Reduce dark circles,in_wet,1.79,0,89.79,FC,IN,CLT B15-16 CLT Fingertip,7
370,3,sst_attribute_rank,CLT B13-14,CLT Fragrance IMD,Instant glow,fr_Green,0.0,0,1.0,FC,IN,CLT B13-14 CLT Fragrance IMD,11
56,4,sst_attribute_rank,CLT B1-2,Skin Look IMD,Overall opinion,shimmer,0.0,0,58.8,FC,IN,CLT B1-2 Skin Look IMD,12
1485,10,sst_attribute_rank,CLT B15-16,CLT Fingertip,Reduce dark circles,ft_sticky,4.93,0,74.43,FC,IN,CLT B15-16 CLT Fingertip,8
371,3,sst_attribute_rank,CLT B13-14,CLT Fragrance IMD,Instant glow,fr_Floral,0.0,0,1.0,FC,IN,CLT B13-14 CLT Fragrance IMD,12
57,5,sst_attribute_rank,CLT B5-6,Fragrance In Jar,Overall opinion,in_fragrance_imm,24.36,0,74.73,FC,IN,CLT B5-6 Fragrance In Jar,1
1486,10,sst_attribute_rank,CLT B15-16,CLT Fingertip,Reduce dark circles,ft_firmness,6.71,0,79.57,FC,IN,CLT B15-16 CLT Fingertip,9
372,3,sst_attribute_rank,CLT B13-14,CLT Fragrance IMD,Instant glow,fr_Woody,0.0,0,1.0,FC,IN,CLT B13-14 CLT Fragrance IMD,13
58,5,sst_attribute_rank,CLT B5-6,Fragrance In Jar,Overall opinion,in_fragrance_5min,15.43,0,64.07,FC,IN,CLT B5-6 Fragrance In Jar,2
1487,10,sst_attribute_rank,CLT B15-16,CLT Fingertip,Reduce dark circles,in_drag_imm,7.86,0,79.73,FC,IN,CLT B15-16 CLT Fingertip,10
373,3,sst_attribute_rank,CLT B13-14,CLT Fragrance IMD,Instant glow,fr_Gourmand,0.0,0,1.0,FC,IN,CLT B13-14 CLT Fragrance IMD,14
59,5,sst_attribute_rank,CLT B5-6,Fragrance In Jar,Overall opinion,fr_Aromatic_Herbeaous,0.0,0,1.0,FC,IN,CLT B5-6 Fragrance In Jar,3
1488,10,sst_attribute_rank,CLT B15-16,CLT Fingertip,Reduce dark circles,in_oily,0.57,0,82.5,FC,IN,CLT B15-16 CLT Fingertip,11
1833,10,sst_attribute_rank,CLT B15-16,CLT Fingertip,Sun protection,ft_stringiness,3.57,0,67.36,FC,IN,CLT B15-16 CLT Fingertip,9
1834,10,sst_attribute_rank,CLT B15-16,CLT Fingertip,Sun protection,oily_ft,0.0,0,92.07,FC,IN,CLT B15-16 CLT Fingertip,10
1835,10,sst_attribute_rank,CLT B15-16,CLT Fingertip,Sun protection,in_oily,0.57,0,82.5,FC,IN,CLT B15-16 CLT Fingertip,11
1836,10,sst_attribute_rank,CLT B15-16,CLT Fingertip,Sun protection,in_creamy,7.0,0,65.33,FC,IN,CLT B15-16 CLT Fingertip,12
1837,10,sst_attribute_rank,CLT B15-16,CLT Fingertip,Sun protection,in_oily_imm,0.64,0,79.64,FC,IN,CLT B15-16 CLT Fingertip,13
1838,10,sst_attribute_rank,CLT B15-16,CLT Fingertip,Sun protection,in_powdery_imm,5.14,0,80.36,FC,IN,CLT B15-16 CLT Fingertip,14
1839,10,sst_attribute_rank,CLT B15-16,CLT Fingertip,Sun protection,in_spreadability,35.93,0,95.64,FC,IN,CLT B15-16 CLT Fingertip,15
1840,10,sst_attribute_rank,CLT B15-16,CLT Fingertip,Sun protection,in_wet,1.79,0,89.79,FC,IN,CLT B15-16 CLT Fingertip,16
1841,10,sst_attribute_rank,CLT B15-16,CLT Fingertip,Sun protection,ft_sticky,4.93,0,74.43,FC,IN,CLT B15-16 CLT Fingertip,17
1842,10,sst_attribute_rank,CLT B15-16,CLT Fingertip,Sun protection,amount_of_residue,22.21,0,93.79,FC,IN,CLT B15-16 CLT Fingertip,18
1843,10,sst_attribute_rank,CLT B15-16,CLT Fingertip,Sun protection,ft_bounciness,1.14,0,39.64,FC,IN,CLT B15-16 CLT Fingertip,19
1844,10,sst_attribute_rank,CLT B15-16,CLT Fingertip,Sun protection,consistency_rate,10.07,0,89.64,FC,IN,CLT B15-16 CLT Fingertip,20
1845,10,sst_attribute_rank,CLT B15-16,CLT Fingertip,Sun protection,in_silky_imm,9.67,0,61.29,FC,IN,CLT B15-16 CLT Fingertip,21
1846,3,sst_attribute_rank,CLT B13-14,CLT Fragrance IMD,Sun protection,in_fragrance_5min,15.43,0,64.07,FC,IN,CLT B13-14 CLT Fragrance IMD,1
1847,3,sst_attribute_rank,CLT B13-14,CLT Fragrance IMD,Sun protection,in_fragrance_imm,24.36,0,74.73,FC,IN,CLT B13-14 CLT Fragrance IMD,2
1848,3,sst_attribute_rank,CLT B13-14,CLT Fragrance IMD,Sun protection,fr_Aromatic_Herbeaous,0.0,0,1.0,FC,IN,CLT B13-14 CLT Fragrance IMD,3
1849,3,sst_attribute_rank,CLT B13-14,CLT Fragrance IMD,Sun protection,fr_Musky,0.0,0,1.0,FC,IN,CLT B13-14 CLT Fragrance IMD,4
1850,3,sst_attribute_rank,CLT B13-14,CLT Fragrance IMD,Sun protection,fr_Green,0.0,0,1.0,FC,IN,CLT B13-14 CLT Fragrance IMD,5
1851,3,sst_attribute_rank,CLT B13-14,CLT Fragrance IMD,Sun protection,fr_Woody,0.0,0,1.0,FC,IN,CLT B13-14 CLT Fragrance IMD,6
1852,3,sst_attribute_rank,CLT B13-14,CLT Fragrance IMD,Sun protection,fr_Citrus,0.0,0,1.0,FC,IN,CLT B13-14 CLT Fragrance IMD,7
1853,3,sst_attribute_rank,CLT B13-14,CLT Fragrance IMD,Sun protection,fr_Floral,0.0,0,1.0,FC,IN,CLT B13-14 CLT Fragrance IMD,8
1854,3,sst_attribute_rank,CLT B13-14,CLT Fragrance IMD,Sun protection,fr_Aldehydic,0.0,0,1.0,FC,IN,CLT B13-14 CLT Fragrance IMD,9
1855,3,sst_attribute_rank,CLT B13-14,CLT Fragrance IMD,Sun protection,fr_Powdery,0.0,0,1.0,FC,IN,CLT B13-14 CLT Fragrance IMD,10
1856,3,sst_attribute_rank,CLT B13-14,CLT Fragrance IMD,Sun protection,fr_Watery_Marine,0.0,0,1.0,FC,IN,CLT B13-14 CLT Fragrance IMD,11
1857,3,sst_attribute_rank,CLT B13-14,CLT Fragrance IMD,Sun protection,fr_Fruity,0.0,0,1.0,FC,IN,CLT B13-14 CLT Fragrance IMD,12
1858,3,sst_attribute_rank,CLT B13-14,CLT Fragrance IMD,Sun protection,fr_Amber,0.0,0,1.0,FC,IN,CLT B13-14 CLT Fragrance IMD,13
1859,3,sst_attribute_rank,CLT B13-14,CLT Fragrance IMD,Sun protection,fr_Gourmand,0.0,0,1.0,FC,IN,CLT B13-14 CLT Fragrance IMD,14
1860,6,sst_attribute_rank,CLT B11-12,CLT Skin Feel 10min,Sun protection,in_thickness,11.71,0,75.67,FC,IN,CLT B11-12 CLT Skin Feel 10min,1
1861,6,sst_attribute_rank,CLT B11-12,CLT Skin Feel 10min,Sun protection,ft_firmness,6.71,0,79.57,FC,IN,CLT B11-12 CLT Skin Feel 10min,2
1862,6,sst_attribute_rank,CLT B11-12,CLT Skin Feel 10min,Sun protection,in_greasy,3.93,0,82.86,FC,IN,CLT B11-12 CLT Skin Feel 10min,3
1863,6,sst_attribute_rank,CLT B11-12,CLT Skin Feel 10min,Sun protection,ft_sticky,4.93,0,74.43,FC,IN,CLT B11-12 CLT Skin Feel 10min,4
1864,6,sst_attribute_rank,CLT B11-12,CLT Skin Feel 10min,Sun protection,in_sticky_5min,4.64,0,65.43,FC,IN,CLT B11-12 CLT Skin Feel 10min,5
1865,6,sst_attribute_rank,CLT B11-12,CLT Skin Feel 10min,Sun protection,in_oily_5min,0.71,0,73.57,FC,IN,CLT B11-12 CLT Skin Feel 10min,6
1866,6,sst_attribute_rank,CLT B11-12,CLT Skin Feel 10min,Sun protection,oily_ft,0.0,0,92.07,FC,IN,CLT B11-12 CLT Skin Feel 10min,7
1867,6,sst_attribute_rank,CLT B11-12,CLT Skin Feel 10min,Sun protection,in_cooling,0.0,0,27.93,FC,IN,CLT B11-12 CLT Skin Feel 10min,8
1868,6,sst_attribute_rank,CLT B11-12,CLT Skin Feel 10min,Sun protection,ft_peaking,3.57,0,78.27,FC,IN,CLT B11-12 CLT Skin Feel 10min,9
1869,6,sst_attribute_rank,CLT B11-12,CLT Skin Feel 10min,Sun protection,in_cooling_5min,0.0,0,5.36,FC,IN,CLT B11-12 CLT Skin Feel 10min,10
1870,6,sst_attribute_rank,CLT B11-12,CLT Skin Feel 10min,Sun protection,in_spreadability,35.93,0,95.64,FC,IN,CLT B11-12 CLT Skin Feel 10min,11
1871,6,sst_attribute_rank,CLT B11-12,CLT Skin Feel 10min,Sun protection,ft_stringiness,3.57,0,67.36,FC,IN,CLT B11-12 CLT Skin Feel 10min,12
1872,6,sst_attribute_rank,CLT B11-12,CLT Skin Feel 10min,Sun protection,in_drag_5min,9.5,0,71.4,FC,IN,CLT B11-12 CLT Skin Feel 10min,13
1873,6,sst_attribute_rank,CLT B11-12,CLT Skin Feel 10min,Sun protection,in_creamy,7.0,0,65.33,FC,IN,CLT B11-12 CLT Skin Feel 10min,14
1874,6,sst_attribute_rank,CLT B11-12,CLT Skin Feel 10min,Sun protection,tightness_5min,16.57,0,73.53,FC,IN,CLT B11-12 CLT Skin Feel 10min,15
1875,6,sst_attribute_rank,CLT B11-12,CLT Skin Feel 10min,Sun protection,in_absorption,24.29,0,115.0,FC,IN,CLT B11-12 CLT Skin Feel 10min,16
1876,6,sst_attribute_rank,CLT B11-12,CLT Skin Feel 10min,Sun protection,in_wet,1.79,0,89.79,FC,IN,CLT B11-12 CLT Skin Feel 10min,17
1877,6,sst_attribute_rank,CLT B11-12,CLT Skin Feel 10min,Sun protection,in_greasy_5min,1.71,0,72.36,FC,IN,CLT B11-12 CLT Skin Feel 10min,18
1878,7,sst_attribute_rank,CLT B17-18,Fragrance 10min,Sun protection,in_fragrance_imm,24.36,0,74.73,FC,IN,CLT B17-18 Fragrance 10min,1
1879,7,sst_attribute_rank,CLT B17-18,Fragrance 10min,Sun protection,in_fragrance_5min,15.43,0,64.07,FC,IN,CLT B17-18 Fragrance 10min,2
1880,7,sst_attribute_rank,CLT B17-18,Fragrance 10min,Sun protection,fr_Green,0.0,0,1.0,FC,IN,CLT B17-18 Fragrance 10min,3
1881,7,sst_attribute_rank,CLT B17-18,Fragrance 10min,Sun protection,fr_Musky,0.0,0,1.0,FC,IN,CLT B17-18 Fragrance 10min,4
1882,7,sst_attribute_rank,CLT B17-18,Fragrance 10min,Sun protection,fr_Citrus,0.0,0,1.0,FC,IN,CLT B17-18 Fragrance 10min,5
1883,7,sst_attribute_rank,CLT B17-18,Fragrance 10min,Sun protection,fr_Aromatic_Herbeaous,0.0,0,1.0,FC,IN,CLT B17-18 Fragrance 10min,6
1884,9,sst_attribute_rank,CLT B3-4,Skin Look 10min,Sun protection,in_gloss_imm,4.29,0,82.86,FC,IN,CLT B3-4 Skin Look 10min,1
1885,9,sst_attribute_rank,CLT B3-4,Skin Look 10min,Sun protection,in_gloss_5min,3.57,0,76.14,FC,IN,CLT B3-4 Skin Look 10min,2
1886,9,sst_attribute_rank,CLT B3-4,Skin Look 10min,Sun protection,in_invisibility_5min,4.93,0,50.67,FC,IN,CLT B3-4 Skin Look 10min,3
1887,9,sst_attribute_rank,CLT B3-4,Skin Look 10min,Sun protection,patchy_residue_in,7.86,0,79.6,FC,IN,CLT B3-4 Skin Look 10min,4
1888,9,sst_attribute_rank,CLT B3-4,Skin Look 10min,Sun protection,in_invisibility_imm,5.43,0,51.33,FC,IN,CLT B3-4 Skin Look 10min,5
1889,9,sst_attribute_rank,CLT B3-4,Skin Look 10min,Sun protection,patchy_residue_imm,4.29,0,39.07,FC,IN,CLT B3-4 Skin Look 10min,6
1890,9,sst_attribute_rank,CLT B3-4,Skin Look 10min,Sun protection,in_coverage_imm,4.64,0,70.27,FC,IN,CLT B3-4 Skin Look 10min,7
1891,9,sst_attribute_rank,CLT B3-4,Skin Look 10min,Sun protection,in_fairness_imm,4.33,0,50.21,FC,IN,CLT B3-4 Skin Look 10min,8
1892,9,sst_attribute_rank,CLT B3-4,Skin Look 10min,Sun protection,in_fairness_5min,4.33,0,43.21,FC,IN,CLT B3-4 Skin Look 10min,9
1893,9,sst_attribute_rank,CLT B3-4,Skin Look 10min,Sun protection,in_powderylook_imm,4.64,0,41.79,FC,IN,CLT B3-4 Skin Look 10min,10
1894,9,sst_attribute_rank,CLT B3-4,Skin Look 10min,Sun protection,in_powderylook_5min,4.64,0,22.73,FC,IN,CLT B3-4 Skin Look 10min,11
1895,9,sst_attribute_rank,CLT B3-4,Skin Look 10min,Sun protection,in_coverage_5min,4.64,0,67.47,FC,IN,CLT B3-4 Skin Look 10min,12
1896,9,sst_attribute_rank,CLT B3-4,Skin Look 10min,Sun protection,shimmer,0.0,0,58.8,FC,IN,CLT B3-4 Skin Look 10min,13
1897,5,sst_attribute_rank,CLT B5-6,Fragrance In Jar,Sun protection,in_fragrance_5min,15.43,0,64.07,FC,IN,CLT B5-6 Fragrance In Jar,1
1898,5,sst_attribute_rank,CLT B5-6,Fragrance In Jar,Sun protection,in_fragrance_imm,24.36,0,74.73,FC,IN,CLT B5-6 Fragrance In Jar,2
1899,5,sst_attribute_rank,CLT B5-6,Fragrance In Jar,Sun protection,fr_Aromatic_Herbeaous,0.0,0,1.0,FC,IN,CLT B5-6 Fragrance In Jar,3
1900,5,sst_attribute_rank,CLT B5-6,Fragrance In Jar,Sun protection,fr_Green,0.0,0,1.0,FC,IN,CLT B5-6 Fragrance In Jar,4
1901,5,sst_attribute_rank,CLT B5-6,Fragrance In Jar,Sun protection,fr_Aldehydic,0.0,0,1.0,FC,IN,CLT B5-6 Fragrance In Jar,5
